# Chess clock game — 2026-06-06 14:31:42 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T14:31:42.608Z      start       WHITE          0:30.000         0:30.000
2026-06-06T14:31:42.609Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T14:33:31.159Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T14:33:31.159Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T14:33:37.754Z      switch      WHITE          0:36.594         0:23.406
2026-06-06T14:33:42.495Z      switch      BLACK          0:31.853         0:28.147
2026-06-06T14:33:48.923Z      switch      WHITE          0:38.281         0:21.719
2026-06-06T14:33:54.044Z      switch      BLACK          0:33.161         0:26.839
2026-06-06T14:34:01.142Z      switch      WHITE          0:40.258         0:19.742
2026-06-06T14:34:05.533Z      switch      BLACK          0:35.867         0:24.133
2026-06-06T14:34:12.156Z      switch      WHITE          0:42.490         0:17.510
2026-06-06T14:34:16.788Z      switch      BLACK          0:37.858         0:22.142
2026-06-06T14:34:22.463Z      switch      WHITE          0:43.532         0:16.468
2026-06-06T14:34:26.725Z      switch      BLACK          0:39.270         0:20.730
2026-06-06T14:34:34.035Z      switch      WHITE          0:46.579         0:13.421
2026-06-06T14:34:37.634Z      switch      BLACK          0:42.981         0:17.019
2026-06-06T14:34:41.453Z      switch      WHITE          0:46.799         0:13.201
2026-06-06T14:34:46.183Z      switch      BLACK          0:42.070         0:17.930
2026-06-06T14:34:52.724Z      switch      WHITE          0:48.610         0:11.390
2026-06-06T14:35:01.117Z      switch      BLACK          0:40.218         0:19.782
2026-06-06T14:35:04.566Z      switch      WHITE          0:43.666         0:16.334
2026-06-06T14:35:15.080Z      switch      BLACK          0:33.152         0:26.848
2026-06-06T14:35:22.160Z      switch      WHITE          0:40.231         0:19.769
2026-06-06T14:35:28.223Z      switch      BLACK          0:34.168         0:25.832
2026-06-06T14:35:35.567Z      switch      WHITE          0:41.512         0:18.488
2026-06-06T14:35:42.897Z      switch      BLACK          0:34.182         0:25.818
2026-06-06T14:35:48.330Z      switch      WHITE          0:39.614         0:20.386
2026-06-06T14:35:55.923Z      switch      BLACK          0:32.022         0:27.978
2026-06-06T14:36:03.001Z      switch      WHITE          0:39.100         0:20.900
2026-06-06T14:36:09.380Z      switch      BLACK          0:32.722         0:27.278
2026-06-06T14:36:14.705Z      switch      WHITE          0:38.047         0:21.953
2026-06-06T14:36:20.720Z      switch      BLACK          0:32.033         0:27.967
2026-06-06T14:36:28.447Z      switch      WHITE          0:39.760         0:20.240
2026-06-06T14:36:36.471Z      switch      BLACK          0:31.737         0:28.263
2026-06-06T14:36:44.409Z      switch      WHITE          0:39.675         0:20.325
2026-06-06T14:36:52.205Z      switch      BLACK          0:31.880         0:28.120
2026-06-06T14:37:01.733Z      switch      WHITE          0:41.407         0:18.593
2026-06-06T14:37:16.469Z      switch      BLACK          0:26.671         0:33.329
2026-06-06T14:37:24.044Z      switch      WHITE          0:34.245         0:25.755
2026-06-06T14:37:31.950Z      switch      BLACK          0:26.339         0:33.661
2026-06-06T14:37:38.365Z      switch      WHITE          0:32.753         0:27.247
2026-06-06T14:37:51.638Z      switch      BLACK          0:19.481         0:40.519
2026-06-06T14:37:59.282Z      switch      WHITE          0:27.125         0:32.875
2026-06-06T14:38:06.673Z      switch      BLACK          0:19.734         0:40.266
2026-06-06T14:38:13.050Z      switch      WHITE          0:26.110         0:33.890
2026-06-06T14:38:18.324Z      switch      BLACK          0:20.836         0:39.164
2026-06-06T14:38:27.146Z      switch      WHITE          0:29.657         0:30.343
2026-06-06T14:38:34.445Z      switch      BLACK          0:22.359         0:37.641
2026-06-06T14:38:42.574Z      switch      WHITE          0:30.488         0:29.512
2026-06-06T14:38:48.197Z      switch      BLACK          0:24.866         0:35.134
2026-06-06T14:38:53.621Z      switch      WHITE          0:30.290         0:29.710
2026-06-06T14:38:57.832Z      switch      BLACK          0:26.079         0:33.921
2026-06-06T14:39:07.299Z      switch      WHITE          0:35.545         0:24.455
2026-06-06T14:39:11.131Z      switch      BLACK          0:31.714         0:28.286
2026-06-06T14:39:17.992Z      switch      WHITE          0:38.574         0:21.426
2026-06-06T14:39:23.923Z      switch      BLACK          0:32.643         0:27.357
2026-06-06T14:39:27.572Z      switch      WHITE          0:36.291         0:23.709
2026-06-06T14:39:39.727Z      switch      BLACK          0:24.137         0:35.863
2026-06-06T14:39:44.184Z      switch      WHITE          0:28.594         0:31.406
2026-06-06T14:39:48.220Z      switch      BLACK          0:24.559         0:35.441
2026-06-06T14:39:58.792Z      switch      WHITE          0:35.131         0:24.869
2026-06-06T14:40:06.441Z      switch      BLACK          0:27.483         0:32.517
2026-06-06T14:40:13.381Z      switch      WHITE          0:34.422         0:25.578
2026-06-06T14:40:18.370Z      switch      BLACK          0:29.433         0:30.567
2026-06-06T14:40:25.006Z      switch      WHITE          0:36.068         0:23.932
2026-06-06T14:40:29.627Z      switch      BLACK          0:31.447         0:28.553
2026-06-06T14:40:36.561Z      switch      WHITE          0:38.380         0:21.620
2026-06-06T14:40:43.079Z      switch      BLACK          0:31.862         0:28.138
2026-06-06T14:40:49.701Z      switch      WHITE          0:38.484         0:21.516
2026-06-06T14:40:55.086Z      switch      BLACK          0:33.099         0:26.901
2026-06-06T14:41:01.035Z      switch      WHITE          0:39.047         0:20.953
2026-06-06T14:41:05.937Z      switch      BLACK          0:34.146         0:25.854
2026-06-06T14:41:12.278Z      switch      WHITE          0:40.487         0:19.513
2026-06-06T14:41:17.293Z      switch      BLACK          0:35.473         0:24.527
2026-06-06T14:41:21.941Z      switch      WHITE          0:40.121         0:19.879
2026-06-06T14:41:27.156Z      switch      BLACK          0:34.907         0:25.093
2026-06-06T14:41:37.050Z      switch      WHITE          0:44.801         0:15.199
2026-06-06T14:41:42.083Z      switch      BLACK          0:39.769         0:20.231
2026-06-06T14:41:47.707Z      switch      WHITE          0:45.392         0:14.608
2026-06-06T14:41:54.252Z      switch      BLACK          0:38.848         0:21.152
2026-06-06T14:41:58.916Z      switch      WHITE          0:43.512         0:16.488
2026-06-06T14:42:06.261Z      switch      BLACK          0:36.168         0:23.832
2026-06-06T14:42:11.152Z      switch      WHITE          0:41.058         0:18.942
2026-06-06T14:42:20.515Z      switch      BLACK          0:31.695         0:28.305
2026-06-06T14:42:25.947Z      switch      WHITE          0:37.126         0:22.874
2026-06-06T14:43:03.115Z      flag        WHITE          0:00.000         1:00.000
