# Chess clock game — 2026-06-06 11:52:12 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T11:52:12.015Z      start       WHITE          0:30.000         0:30.000
2026-06-06T11:52:12.015Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T11:56:39.887Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T11:56:39.887Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T11:56:45.919Z      switch      WHITE          0:36.031         0:23.969
2026-06-06T11:56:51.134Z      switch      BLACK          0:30.816         0:29.184
2026-06-06T11:56:56.541Z      switch      WHITE          0:36.222         0:23.778
2026-06-06T11:57:02.910Z      switch      BLACK          0:29.853         0:30.147
2026-06-06T11:57:09.030Z      switch      WHITE          0:35.972         0:24.028
2026-06-06T11:57:14.784Z      switch      BLACK          0:30.218         0:29.782
2026-06-06T11:57:21.302Z      switch      WHITE          0:36.736         0:23.264
2026-06-06T11:57:27.285Z      switch      BLACK          0:30.754         0:29.246
2026-06-06T11:57:34.039Z      switch      WHITE          0:37.508         0:22.492
2026-06-06T11:57:40.744Z      switch      BLACK          0:30.804         0:29.196
2026-06-06T11:57:48.764Z      switch      WHITE          0:38.824         0:21.176
2026-06-06T11:57:56.315Z      switch      BLACK          0:31.274         0:28.726
2026-06-06T11:58:05.796Z      switch      WHITE          0:40.754         0:19.246
2026-06-06T11:58:13.464Z      switch      BLACK          0:33.087         0:26.913
2026-06-06T11:58:21.161Z      switch      WHITE          0:40.784         0:19.216
2026-06-06T11:58:27.238Z      switch      BLACK          0:34.708         0:25.292
2026-06-06T11:58:39.615Z      switch      WHITE          0:47.084         0:12.916
2026-06-06T11:58:46.363Z      switch      BLACK          0:40.336         0:19.664
2026-06-06T11:58:49.665Z      switch      WHITE          0:43.637         0:16.363
2026-06-06T11:59:02.931Z      switch      BLACK          0:30.371         0:29.629
2026-06-06T11:59:09.416Z      switch      WHITE          0:36.855         0:23.145
2026-06-06T11:59:14.786Z      switch      BLACK          0:31.485         0:28.515
2026-06-06T11:59:24.444Z      switch      WHITE          0:41.142         0:18.858
2026-06-06T11:59:31.087Z      switch      BLACK          0:34.499         0:25.501
2026-06-06T11:59:38.555Z      switch      WHITE          0:41.966         0:18.034
2026-06-06T11:59:45.624Z      switch      BLACK          0:34.897         0:25.103
2026-06-06T11:59:55.494Z      switch      WHITE          0:44.766         0:15.234
2026-06-06T12:00:01.824Z      switch      BLACK          0:38.436         0:21.564
2026-06-06T12:00:04.472Z      switch      WHITE          0:41.083         0:18.917
2026-06-06T12:00:09.636Z      switch      BLACK          0:35.919         0:24.081
2026-06-06T12:00:13.445Z      switch      WHITE          0:39.727         0:20.273
2026-06-06T12:00:19.702Z      switch      BLACK          0:33.471         0:26.529
2026-06-06T12:00:29.633Z      switch      WHITE          0:43.402         0:16.598
2026-06-06T12:00:35.789Z      switch      BLACK          0:37.247         0:22.753
2026-06-06T12:00:46.040Z      switch      WHITE          0:47.497         0:12.503
2026-06-06T12:00:50.469Z      switch      BLACK          0:43.068         0:16.932
2026-06-06T12:00:57.819Z      switch      WHITE          0:50.418         0:09.582
2026-06-06T12:01:02.642Z      switch      BLACK          0:45.595         0:14.405
2026-06-06T12:01:09.077Z      switch      WHITE          0:52.029         0:07.971
2026-06-06T12:01:14.732Z      switch      BLACK          0:46.374         0:13.626
2026-06-06T12:01:19.120Z      switch      WHITE          0:50.761         0:09.239
2026-06-06T12:01:23.861Z      switch      BLACK          0:46.021         0:13.979
2026-06-06T12:01:34.017Z      switch      WHITE          0:56.177         0:03.823
2026-06-06T12:01:40.297Z      switch      BLACK          0:49.898         0:10.102
2026-06-06T12:01:50.486Z      flag        BLACK          1:00.000         0:00.000
