# Chess clock game — 2026-06-06 10:38:40 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T10:38:40.022Z      start       WHITE          0:30.000         0:30.000
2026-06-06T10:38:40.022Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T10:44:29.601Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T10:44:29.601Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T10:44:35.466Z      switch      WHITE          0:35.864         0:24.136
2026-06-06T10:44:44.019Z      switch      BLACK          0:27.312         0:32.688
2026-06-06T10:44:53.882Z      switch      WHITE          0:37.174         0:22.826
2026-06-06T10:44:59.525Z      switch      BLACK          0:31.531         0:28.469
2026-06-06T10:45:04.831Z      switch      WHITE          0:36.836         0:23.164
2026-06-06T10:45:10.878Z      switch      BLACK          0:30.789         0:29.211
2026-06-06T10:45:25.523Z      switch      WHITE          0:45.434         0:14.566
2026-06-06T10:45:31.419Z      switch      BLACK          0:39.539         0:20.461
2026-06-06T10:45:36.347Z      switch      WHITE          0:44.466         0:15.534
2026-06-06T10:45:46.604Z      switch      BLACK          0:34.210         0:25.790
2026-06-06T10:45:51.610Z      switch      WHITE          0:39.215         0:20.785
2026-06-06T10:46:00.842Z      switch      BLACK          0:29.983         0:30.017
2026-06-06T10:46:08.041Z      switch      WHITE          0:37.182         0:22.818
2026-06-06T10:46:16.207Z      switch      BLACK          0:29.017         0:30.983
2026-06-06T10:46:25.526Z      switch      WHITE          0:38.335         0:21.665
2026-06-06T10:46:32.999Z      switch      BLACK          0:30.863         0:29.137
2026-06-06T10:46:43.432Z      switch      WHITE          0:41.295         0:18.705
2026-06-06T10:46:51.567Z      switch      BLACK          0:33.160         0:26.840
2026-06-06T10:46:57.001Z      switch      WHITE          0:38.593         0:21.407
2026-06-06T10:47:04.667Z      switch      BLACK          0:30.927         0:29.073
2026-06-06T10:47:18.060Z      switch      WHITE          0:44.320         0:15.680
2026-06-06T10:47:25.756Z      switch      BLACK          0:36.625         0:23.375
