# Chess clock game — 2026-06-06 07:25:00 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T07:25:00.522Z      start       WHITE          0:30.000         0:30.000
2026-06-06T07:25:00.522Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T07:26:31.238Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T07:26:31.238Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T07:26:37.142Z      switch      WHITE          0:35.903         0:24.097
2026-06-06T07:26:41.912Z      switch      BLACK          0:31.133         0:28.867
2026-06-06T07:26:49.133Z      switch      WHITE          0:38.353         0:21.647
2026-06-06T07:26:52.484Z      switch      BLACK          0:35.002         0:24.998
2026-06-06T07:26:59.047Z      switch      WHITE          0:41.564         0:18.436
2026-06-06T07:27:05.409Z      switch      BLACK          0:35.202         0:24.798
2026-06-06T07:27:10.177Z      switch      WHITE          0:39.969         0:20.031
2026-06-06T07:27:17.142Z      switch      BLACK          0:33.004         0:26.996
2026-06-06T07:27:23.285Z      switch      WHITE          0:39.146         0:20.854
2026-06-06T07:27:33.076Z      switch      BLACK          0:29.356         0:30.644
2026-06-06T07:27:37.814Z      switch      WHITE          0:34.094         0:25.906
2026-06-06T07:27:49.716Z      switch      BLACK          0:22.193         0:37.807
2026-06-06T07:27:59.524Z      switch      WHITE          0:32.001         0:27.999
2026-06-06T07:28:15.425Z      switch      BLACK          0:16.100         0:43.900
2026-06-06T07:28:23.632Z      switch      WHITE          0:24.307         0:35.693
2026-06-06T07:28:30.178Z      switch      BLACK          0:17.761         0:42.239
2026-06-06T07:28:36.786Z      switch      WHITE          0:24.368         0:35.632
2026-06-06T07:28:43.819Z      switch      BLACK          0:17.335         0:42.665
2026-06-06T07:28:49.042Z      switch      WHITE          0:22.557         0:37.443
2026-06-06T07:28:58.572Z      switch      BLACK          0:13.028         0:46.972
2026-06-06T07:29:04.417Z      switch      WHITE          0:18.873         0:41.127
2026-06-06T07:29:11.106Z      switch      BLACK          0:12.185         0:47.815
2026-06-06T07:29:17.441Z      switch      WHITE          0:18.519         0:41.481
2026-06-06T07:29:29.044Z      switch      BLACK          0:06.917         0:53.083
2026-06-06T07:29:33.596Z      switch      WHITE          0:11.469         0:48.531
2026-06-06T07:29:38.001Z      switch      BLACK          0:07.064         0:52.936
2026-06-06T07:29:43.902Z      switch      WHITE          0:12.965         0:47.035
2026-06-06T07:29:51.645Z      switch      BLACK          0:05.223         0:54.777
2026-06-06T07:29:57.794Z      switch      WHITE          0:11.371         0:48.629
2026-06-06T07:30:07.924Z      switch      BLACK          0:01.241         0:58.759
2026-06-06T07:30:14.348Z      switch      WHITE          0:07.664         0:52.336
2026-06-06T07:30:21.091Z      switch      BLACK          0:00.921         0:59.079
2026-06-06T07:30:25.495Z      switch      WHITE          0:05.325         0:54.675
2026-06-06T07:30:28.572Z      switch      BLACK          0:02.248         0:57.752
2026-06-06T07:30:33.650Z      switch      WHITE          0:07.325         0:52.675
2026-06-06T07:30:41.069Z      flag        WHITE          0:00.000         1:00.000
