# Chess clock game — 2026-06-06 15:38:04 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T15:38:04.441Z      start       WHITE          0:30.000         0:30.000
2026-06-06T15:38:04.441Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T15:40:06.805Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T15:40:06.805Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T15:40:13.485Z      switch      WHITE          0:36.679         0:23.321
2026-06-06T15:40:19.413Z      switch      BLACK          0:30.751         0:29.249
2026-06-06T15:40:24.909Z      switch      WHITE          0:36.247         0:23.753
2026-06-06T15:40:30.130Z      switch      BLACK          0:31.027         0:28.973
2026-06-06T15:40:34.292Z      switch      WHITE          0:35.188         0:24.812
2026-06-06T15:40:42.006Z      switch      BLACK          0:27.474         0:32.526
2026-06-06T15:40:48.703Z      switch      WHITE          0:34.170         0:25.830
2026-06-06T15:40:54.956Z      switch      BLACK          0:27.917         0:32.083
2026-06-06T15:40:59.871Z      switch      WHITE          0:32.831         0:27.169
2026-06-06T15:41:05.529Z      switch      BLACK          0:27.173         0:32.827
2026-06-06T15:41:15.434Z      switch      WHITE          0:37.077         0:22.923
2026-06-06T15:41:22.608Z      switch      BLACK          0:29.903         0:30.097
2026-06-06T15:41:29.657Z      switch      WHITE          0:36.951         0:23.049
2026-06-06T15:41:36.364Z      switch      BLACK          0:30.244         0:29.756
2026-06-06T15:41:45.456Z      switch      WHITE          0:39.335         0:20.665
2026-06-06T15:41:48.599Z      switch      BLACK          0:36.192         0:23.808
2026-06-06T15:41:54.294Z      switch      WHITE          0:41.887         0:18.113
2026-06-06T15:42:02.161Z      switch      BLACK          0:34.021         0:25.979
2026-06-06T15:42:10.106Z      switch      WHITE          0:41.966         0:18.034
2026-06-06T15:42:19.383Z      switch      BLACK          0:32.689         0:27.311
2026-06-06T15:42:24.646Z      switch      WHITE          0:37.952         0:22.048
2026-06-06T15:42:30.192Z      switch      BLACK          0:32.407         0:27.593
2026-06-06T15:42:36.345Z      switch      WHITE          0:38.559         0:21.441
2026-06-06T15:42:45.898Z      switch      BLACK          0:29.006         0:30.994
2026-06-06T15:42:56.713Z      switch      WHITE          0:39.820         0:20.180
2026-06-06T15:43:04.587Z      switch      BLACK          0:31.946         0:28.054
2026-06-06T15:43:12.346Z      switch      WHITE          0:39.704         0:20.296
2026-06-06T15:43:19.808Z      switch      BLACK          0:32.242         0:27.758
2026-06-06T15:43:25.790Z      switch      WHITE          0:38.224         0:21.776
2026-06-06T15:43:34.695Z      switch      BLACK          0:29.320         0:30.680
2026-06-06T15:43:43.122Z      switch      WHITE          0:37.746         0:22.254
2026-06-06T15:43:50.266Z      switch      BLACK          0:30.603         0:29.397
2026-06-06T15:43:56.453Z      switch      WHITE          0:36.790         0:23.210
2026-06-06T15:44:04.160Z      switch      BLACK          0:29.084         0:30.916
2026-06-06T15:44:12.474Z      switch      WHITE          0:37.397         0:22.603
2026-06-06T15:44:19.309Z      switch      BLACK          0:30.563         0:29.437
2026-06-06T15:44:27.348Z      switch      WHITE          0:38.602         0:21.398
2026-06-06T15:44:41.236Z      switch      BLACK          0:24.715         0:35.285
2026-06-06T15:44:46.721Z      switch      WHITE          0:30.200         0:29.800
2026-06-06T15:44:54.240Z      switch      BLACK          0:22.682         0:37.318
2026-06-06T15:45:03.287Z      switch      WHITE          0:31.728         0:28.272
2026-06-06T15:45:10.286Z      switch      BLACK          0:24.730         0:35.270
2026-06-06T15:45:17.904Z      switch      WHITE          0:32.347         0:27.653
2026-06-06T15:45:26.220Z      switch      BLACK          0:24.031         0:35.969
2026-06-06T15:45:32.666Z      switch      WHITE          0:30.476         0:29.524
2026-06-06T15:45:38.779Z      switch      BLACK          0:24.363         0:35.637
2026-06-06T15:45:43.623Z      switch      WHITE          0:29.206         0:30.794
2026-06-06T15:45:51.644Z      switch      BLACK          0:21.185         0:38.815
2026-06-06T15:46:00.997Z      switch      WHITE          0:30.537         0:29.463
2026-06-06T15:46:06.387Z      switch      BLACK          0:25.147         0:34.853
2026-06-06T15:46:19.164Z      switch      WHITE          0:37.923         0:22.077
2026-06-06T15:46:23.763Z      switch      BLACK          0:33.325         0:26.675
2026-06-06T15:46:35.262Z      switch      WHITE          0:44.824         0:15.176
2026-06-06T15:46:42.087Z      switch      BLACK          0:37.999         0:22.001
2026-06-06T15:47:04.098Z      flag        BLACK          1:00.000         0:00.000
