# Chess clock game — 2026-06-06 08:14:46 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T08:14:46.739Z      start       WHITE          0:30.000         0:30.000
2026-06-06T08:14:46.740Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T08:15:15.787Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T08:15:15.787Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T08:15:24.562Z      switch      WHITE          0:38.774         0:21.226
2026-06-06T08:15:28.706Z      switch      BLACK          0:34.630         0:25.370
2026-06-06T08:15:32.557Z      switch      WHITE          0:38.481         0:21.519
2026-06-06T08:15:36.483Z      switch      BLACK          0:34.556         0:25.444
2026-06-06T08:15:42.501Z      switch      WHITE          0:40.573         0:19.427
2026-06-06T08:15:48.859Z      switch      BLACK          0:34.215         0:25.785
2026-06-06T08:15:54.389Z      switch      WHITE          0:39.744         0:20.256
2026-06-06T08:16:06.038Z      switch      BLACK          0:28.096         0:31.904
2026-06-06T08:16:13.247Z      switch      WHITE          0:35.305         0:24.695
2026-06-06T08:16:19.224Z      switch      BLACK          0:29.328         0:30.672
2026-06-06T08:16:27.849Z      switch      WHITE          0:37.952         0:22.048
2026-06-06T08:16:33.684Z      switch      BLACK          0:32.118         0:27.882
2026-06-06T08:16:40.026Z      switch      WHITE          0:38.460         0:21.540
2026-06-06T08:16:49.367Z      switch      BLACK          0:29.120         0:30.880
2026-06-06T08:16:57.857Z      switch      WHITE          0:37.610         0:22.390
2026-06-06T08:17:05.678Z      switch      BLACK          0:29.790         0:30.210
2026-06-06T08:17:12.434Z      switch      WHITE          0:36.545         0:23.455
2026-06-06T08:17:20.064Z      switch      BLACK          0:28.916         0:31.084
2026-06-06T08:17:20.365Z      switch      WHITE          0:29.216         0:30.784
2026-06-06T08:17:23.028Z      switch      BLACK          0:26.553         0:33.447
2026-06-06T08:17:30.087Z      switch      WHITE          0:33.611         0:26.389
2026-06-06T08:17:38.546Z      switch      BLACK          0:25.153         0:34.847
2026-06-06T08:17:44.601Z      switch      WHITE          0:31.207         0:28.793
2026-06-06T08:17:54.880Z      switch      BLACK          0:20.928         0:39.072
2026-06-06T08:18:01.895Z      switch      WHITE          0:27.943         0:32.057
2026-06-06T08:18:10.811Z      switch      BLACK          0:19.027         0:40.973
2026-06-06T08:18:16.460Z      switch      WHITE          0:24.675         0:35.325
2026-06-06T08:18:20.545Z      switch      BLACK          0:20.591         0:39.409
2026-06-06T08:18:25.351Z      switch      WHITE          0:25.397         0:34.603
2026-06-06T08:18:28.963Z      switch      BLACK          0:21.786         0:38.214
2026-06-06T08:18:46.926Z      switch      WHITE          0:39.749         0:20.251
2026-06-06T08:18:49.509Z      switch      BLACK          0:37.167         0:22.833
2026-06-06T08:18:55.987Z      switch      WHITE          0:43.644         0:16.356
2026-06-06T08:19:01.198Z      switch      BLACK          0:38.433         0:21.567
