# Chess clock game — 2026-06-06 14:07:14 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T14:07:14.586Z      start       WHITE          0:30.000         0:30.000
2026-06-06T14:07:14.586Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T14:10:34.379Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T14:10:34.379Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T14:10:40.627Z      switch      WHITE          0:36.247         0:23.753
2026-06-06T14:10:46.436Z      switch      BLACK          0:30.438         0:29.562
2026-06-06T14:10:52.289Z      switch      WHITE          0:36.290         0:23.710
2026-06-06T14:10:59.905Z      switch      BLACK          0:28.674         0:31.326
2026-06-06T14:11:06.096Z      switch      WHITE          0:34.864         0:25.136
2026-06-06T14:11:13.504Z      switch      BLACK          0:27.457         0:32.543
2026-06-06T14:11:21.083Z      switch      WHITE          0:35.035         0:24.965
2026-06-06T14:11:29.207Z      switch      BLACK          0:26.911         0:33.089
2026-06-06T14:11:35.280Z      switch      WHITE          0:32.983         0:27.017
2026-06-06T14:11:43.359Z      switch      BLACK          0:24.904         0:35.096
2026-06-06T14:11:49.515Z      switch      WHITE          0:31.060         0:28.940
2026-06-06T14:11:56.109Z      switch      BLACK          0:24.467         0:35.533
2026-06-06T14:12:02.533Z      switch      WHITE          0:30.891         0:29.109
2026-06-06T14:12:10.474Z      switch      BLACK          0:22.950         0:37.050
2026-06-06T14:12:17.461Z      switch      WHITE          0:29.937         0:30.063
2026-06-06T14:12:30.991Z      switch      BLACK          0:16.408         0:43.592
2026-06-06T14:12:38.367Z      switch      WHITE          0:23.783         0:36.217
2026-06-06T14:12:46.250Z      switch      BLACK          0:15.901         0:44.099
2026-06-06T14:12:51.867Z      switch      WHITE          0:21.517         0:38.483
2026-06-06T14:13:03.648Z      switch      BLACK          0:09.737         0:50.263
2026-06-06T14:13:19.199Z      switch      WHITE          0:25.288         0:34.712
2026-06-06T14:13:25.313Z      switch      BLACK          0:19.175         0:40.825
2026-06-06T14:13:37.652Z      switch      WHITE          0:31.513         0:28.487
2026-06-06T14:13:45.901Z      switch      BLACK          0:23.264         0:36.736
2026-06-06T14:14:02.573Z      switch      WHITE          0:39.935         0:20.065
2026-06-06T14:14:16.888Z      switch      BLACK          0:25.621         0:34.379
2026-06-06T14:14:27.716Z      switch      WHITE          0:36.449         0:23.551
2026-06-06T14:14:33.620Z      switch      BLACK          0:30.546         0:29.454
2026-06-06T14:14:56.160Z      switch      WHITE          0:53.085         0:06.915
2026-06-06T14:15:00.647Z      switch      BLACK          0:48.598         0:11.402
2026-06-06T14:15:09.849Z      switch      WHITE          0:57.800         0:02.200
2026-06-06T14:15:12.816Z      switch      BLACK          0:54.834         0:05.166
2026-06-06T14:15:18.062Z      flag        BLACK          1:00.000         0:00.000
