# Chess clock game — 2026-06-06 08:54:50 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T08:54:50.067Z      start       WHITE          0:30.000         0:30.000
2026-06-06T08:54:50.067Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T08:55:35.437Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T08:55:35.437Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T08:55:43.108Z      switch      WHITE          0:37.670         0:22.330
2026-06-06T08:55:48.316Z      switch      BLACK          0:32.462         0:27.538
2026-06-06T08:55:57.811Z      switch      WHITE          0:41.956         0:18.044
2026-06-06T08:56:03.604Z      switch      BLACK          0:36.163         0:23.837
2026-06-06T08:56:11.289Z      switch      WHITE          0:43.847         0:16.153
2026-06-06T08:56:17.369Z      switch      BLACK          0:37.768         0:22.232
2026-06-06T08:56:25.182Z      switch      WHITE          0:45.581         0:14.419
2026-06-06T08:56:32.556Z      switch      BLACK          0:38.208         0:21.792
2026-06-06T08:56:40.064Z      switch      WHITE          0:45.716         0:14.284
2026-06-06T08:56:44.860Z      switch      BLACK          0:40.921         0:19.079
2026-06-06T08:56:58.891Z      switch      WHITE          0:54.952         0:05.048
2026-06-06T08:57:04.491Z      switch      BLACK          0:49.353         0:10.647
2026-06-06T08:57:08.001Z      switch      WHITE          0:52.863         0:07.137
2026-06-06T08:57:17.016Z      switch      BLACK          0:43.848         0:16.152
2026-06-06T08:57:21.917Z      switch      WHITE          0:48.749         0:11.251
2026-06-06T08:57:27.126Z      switch      BLACK          0:43.541         0:16.459
2026-06-06T08:57:34.180Z      switch      WHITE          0:50.595         0:09.405
2026-06-06T08:57:52.825Z      switch      BLACK          0:31.951         0:28.049
2026-06-06T08:57:58.156Z      switch      WHITE          0:37.281         0:22.719
2026-06-06T08:58:07.637Z      switch      BLACK          0:27.800         0:32.200
2026-06-06T08:58:14.496Z      switch      WHITE          0:34.658         0:25.342
2026-06-06T08:58:26.946Z      switch      BLACK          0:22.209         0:37.791
2026-06-06T08:58:32.519Z      switch      WHITE          0:27.782         0:32.218
2026-06-06T08:58:45.142Z      switch      BLACK          0:15.160         0:44.840
2026-06-06T08:58:56.539Z      switch      WHITE          0:26.557         0:33.443
2026-06-06T08:59:05.929Z      switch      BLACK          0:17.167         0:42.833
2026-06-06T08:59:13.051Z      switch      WHITE          0:24.289         0:35.711
2026-06-06T08:59:19.313Z      switch      BLACK          0:18.028         0:41.972
2026-06-06T08:59:28.844Z      switch      WHITE          0:27.558         0:32.442
2026-06-06T08:59:34.249Z      switch      BLACK          0:22.153         0:37.847
2026-06-06T08:59:42.297Z      switch      WHITE          0:30.201         0:29.799
2026-06-06T08:59:50.794Z      switch      BLACK          0:21.705         0:38.295
2026-06-06T09:00:00.034Z      switch      WHITE          0:30.945         0:29.055
2026-06-06T09:00:07.865Z      switch      BLACK          0:23.115         0:36.885
2026-06-06T09:00:33.251Z      switch      WHITE          0:48.500         0:11.500
2026-06-06T09:00:40.396Z      switch      BLACK          0:41.355         0:18.645
2026-06-06T09:00:59.136Z      flag        BLACK          1:00.000         0:00.000
