# Chess clock game — 2026-06-06 09:39:31 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T09:39:31.596Z      start       WHITE          0:30.000         0:30.000
2026-06-06T09:39:31.596Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T09:41:34.827Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T09:41:34.827Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T09:41:39.534Z      switch      WHITE          0:34.707         0:25.293
2026-06-06T09:41:45.310Z      switch      BLACK          0:28.932         0:31.068
2026-06-06T09:41:50.547Z      switch      WHITE          0:34.168         0:25.832
2026-06-06T09:42:02.090Z      switch      BLACK          0:22.625         0:37.375
2026-06-06T09:42:10.154Z      switch      WHITE          0:30.689         0:29.311
2026-06-06T09:42:14.556Z      switch      BLACK          0:26.288         0:33.712
2026-06-06T09:42:22.153Z      switch      WHITE          0:33.885         0:26.115
2026-06-06T09:42:40.946Z      switch      BLACK          0:15.093         0:44.907
2026-06-06T09:42:46.095Z      switch      WHITE          0:20.241         0:39.759
2026-06-06T09:43:05.219Z      switch      BLACK          0:01.117         0:58.883
2026-06-06T09:43:10.774Z      switch      WHITE          0:06.671         0:53.329
2026-06-06T09:43:13.216Z      switch      BLACK          0:04.229         0:55.771
2026-06-06T09:43:25.500Z      switch      WHITE          0:16.512         0:43.488
2026-06-06T09:43:29.264Z      switch      BLACK          0:12.748         0:47.252
2026-06-06T09:43:32.724Z      switch      WHITE          0:16.208         0:43.792
2026-06-06T09:43:37.670Z      switch      BLACK          0:11.263         0:48.737
2026-06-06T09:43:41.247Z      switch      WHITE          0:14.840         0:45.160
2026-06-06T09:43:49.892Z      switch      BLACK          0:06.196         0:53.804
2026-06-06T09:43:53.300Z      switch      WHITE          0:09.604         0:50.396
2026-06-06T09:43:57.463Z      switch      BLACK          0:05.442         0:54.558
2026-06-06T09:44:06.050Z      switch      WHITE          0:14.029         0:45.971
2026-06-06T09:44:12.580Z      switch      BLACK          0:07.500         0:52.500
2026-06-06T09:44:19.106Z      switch      WHITE          0:14.026         0:45.974
2026-06-06T09:44:27.462Z      switch      BLACK          0:05.670         0:54.330
2026-06-06T09:44:34.073Z      switch      WHITE          0:12.280         0:47.720
2026-06-06T09:44:41.434Z      switch      BLACK          0:04.920         0:55.080
2026-06-06T09:44:49.280Z      switch      WHITE          0:12.766         0:47.234
2026-06-06T09:44:53.909Z      switch      BLACK          0:08.137         0:51.863
2026-06-06T09:45:08.366Z      switch      WHITE          0:22.593         0:37.407
2026-06-06T09:45:14.575Z      switch      BLACK          0:16.384         0:43.616
2026-06-06T09:45:21.132Z      switch      WHITE          0:22.940         0:37.060
2026-06-06T09:45:38.890Z      switch      BLACK          0:05.183         0:54.817
2026-06-06T09:45:46.014Z      switch      WHITE          0:12.307         0:47.693
2026-06-06T09:45:58.416Z      flag        WHITE          0:00.000         1:00.000
