# Chess clock game — 2026-06-06 15:16:05 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T15:16:05.670Z      start       WHITE          0:30.000         0:30.000
2026-06-06T15:16:05.670Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T15:18:40.288Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T15:18:40.288Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T15:18:45.820Z      switch      WHITE          0:35.531         0:24.469
2026-06-06T15:18:51.521Z      switch      BLACK          0:29.830         0:30.170
2026-06-06T15:18:55.552Z      switch      WHITE          0:33.861         0:26.139
2026-06-06T15:19:03.082Z      switch      BLACK          0:26.331         0:33.669
2026-06-06T15:19:07.547Z      switch      WHITE          0:30.795         0:29.205
2026-06-06T15:19:13.015Z      switch      BLACK          0:25.327         0:34.673
2026-06-06T15:19:16.054Z      switch      WHITE          0:28.365         0:31.635
2026-06-06T15:19:21.822Z      switch      BLACK          0:22.597         0:37.403
2026-06-06T15:19:25.230Z      switch      WHITE          0:26.005         0:33.995
2026-06-06T15:19:33.098Z      switch      BLACK          0:18.137         0:41.863
2026-06-06T15:19:37.719Z      switch      WHITE          0:22.758         0:37.242
2026-06-06T15:19:46.302Z      switch      BLACK          0:14.176         0:45.824
2026-06-06T15:19:56.021Z      switch      WHITE          0:23.895         0:36.105
2026-06-06T15:20:02.301Z      switch      BLACK          0:17.616         0:42.384
2026-06-06T15:20:08.262Z      switch      WHITE          0:23.576         0:36.424
2026-06-06T15:20:18.541Z      switch      BLACK          0:13.298         0:46.702
2026-06-06T15:20:22.351Z      switch      WHITE          0:17.108         0:42.892
2026-06-06T15:20:28.453Z      switch      BLACK          0:11.007         0:48.993
2026-06-06T15:20:31.000Z      switch      WHITE          0:13.554         0:46.446
2026-06-06T15:20:34.312Z      switch      BLACK          0:10.243         0:49.757
2026-06-06T15:20:41.536Z      switch      WHITE          0:17.467         0:42.533
2026-06-06T15:20:47.108Z      switch      BLACK          0:11.895         0:48.105
2026-06-06T15:20:53.253Z      switch      WHITE          0:18.040         0:41.960
2026-06-06T15:20:57.620Z      switch      BLACK          0:13.674         0:46.326
2026-06-06T15:21:04.769Z      switch      WHITE          0:20.823         0:39.177
2026-06-06T15:21:10.884Z      switch      BLACK          0:14.708         0:45.292
2026-06-06T15:21:15.437Z      switch      WHITE          0:19.260         0:40.740
2026-06-06T15:21:21.902Z      switch      BLACK          0:12.796         0:47.204
2026-06-06T15:21:29.388Z      switch      WHITE          0:20.281         0:39.719
2026-06-06T15:21:33.961Z      switch      BLACK          0:15.709         0:44.291
2026-06-06T15:21:42.491Z      switch      WHITE          0:24.238         0:35.762
2026-06-06T15:21:49.667Z      switch      BLACK          0:17.062         0:42.938
2026-06-06T15:21:55.564Z      switch      WHITE          0:22.958         0:37.042
2026-06-06T15:22:01.031Z      switch      BLACK          0:17.492         0:42.508
2026-06-06T15:22:13.631Z      switch      WHITE          0:30.092         0:29.908
2026-06-06T15:22:21.403Z      switch      BLACK          0:22.321         0:37.679
2026-06-06T15:22:28.771Z      switch      WHITE          0:29.689         0:30.311
2026-06-06T15:22:34.574Z      switch      BLACK          0:23.887         0:36.113
2026-06-06T15:22:38.766Z      switch      WHITE          0:28.079         0:31.921
2026-06-06T15:22:44.630Z      switch      BLACK          0:22.216         0:37.784
2026-06-06T15:22:49.317Z      switch      WHITE          0:26.902         0:33.098
2026-06-06T15:22:55.392Z      switch      BLACK          0:20.827         0:39.173
2026-06-06T15:23:02.780Z      switch      WHITE          0:28.215         0:31.785
2026-06-06T15:23:07.605Z      switch      BLACK          0:23.391         0:36.609
2026-06-06T15:23:14.437Z      switch      WHITE          0:30.223         0:29.777
2026-06-06T15:23:21.900Z      switch      BLACK          0:22.761         0:37.239
2026-06-06T15:23:27.569Z      switch      WHITE          0:28.429         0:31.571
2026-06-06T15:23:33.981Z      switch      BLACK          0:22.017         0:37.983
2026-06-06T15:23:40.564Z      switch      WHITE          0:28.600         0:31.400
2026-06-06T15:23:46.605Z      switch      BLACK          0:22.560         0:37.440
2026-06-06T15:24:03.087Z      switch      WHITE          0:39.042         0:20.958
2026-06-06T15:24:09.652Z      switch      BLACK          0:32.478         0:27.522
2026-06-06T15:24:37.185Z      flag        BLACK          1:00.000         0:00.000
