# Chess clock game — 2026-06-06 15:47:19 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T15:47:19.237Z      start       WHITE          0:30.000         0:30.000
2026-06-06T15:47:19.237Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T15:59:42.054Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T15:59:42.054Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T15:59:49.786Z      switch      WHITE          0:37.731         0:22.269
2026-06-06T15:59:56.042Z      switch      BLACK          0:31.476         0:28.524
2026-06-06T16:00:01.082Z      switch      WHITE          0:36.515         0:23.485
2026-06-06T16:00:04.887Z      switch      BLACK          0:32.711         0:27.289
2026-06-06T16:00:12.159Z      switch      WHITE          0:39.983         0:20.017
2026-06-06T16:00:17.703Z      switch      BLACK          0:34.440         0:25.560
2026-06-06T16:00:24.454Z      switch      WHITE          0:41.191         0:18.809
2026-06-06T16:00:28.686Z      switch      BLACK          0:36.959         0:23.041
2026-06-06T16:00:35.423Z      switch      WHITE          0:43.695         0:16.305
2026-06-06T16:00:42.548Z      switch      BLACK          0:36.570         0:23.430
2026-06-06T16:00:49.456Z      switch      WHITE          0:43.477         0:16.523
2026-06-06T16:00:54.572Z      switch      BLACK          0:38.361         0:21.639
2026-06-06T16:01:02.865Z      switch      WHITE          0:46.654         0:13.346
2026-06-06T16:01:11.489Z      switch      BLACK          0:38.031         0:21.969
2026-06-06T16:01:19.978Z      switch      WHITE          0:46.520         0:13.480
2026-06-06T16:01:24.813Z      switch      BLACK          0:41.686         0:18.314
2026-06-06T16:01:31.670Z      switch      WHITE          0:48.542         0:11.458
2026-06-06T16:01:38.123Z      switch      BLACK          0:42.090         0:17.910
2026-06-06T16:01:43.018Z      switch      WHITE          0:46.985         0:13.015
2026-06-06T16:01:54.473Z      switch      BLACK          0:35.530         0:24.470
2026-06-06T16:01:58.248Z      switch      WHITE          0:39.304         0:20.696
2026-06-06T16:02:06.352Z      switch      BLACK          0:31.200         0:28.800
2026-06-06T16:02:12.283Z      switch      WHITE          0:37.130         0:22.870
2026-06-06T16:02:18.590Z      switch      BLACK          0:30.823         0:29.177
2026-06-06T16:02:32.391Z      switch      WHITE          0:44.624         0:15.376
2026-06-06T16:02:38.040Z      switch      BLACK          0:38.976         0:21.024
2026-06-06T16:02:44.330Z      switch      WHITE          0:45.266         0:14.734
2026-06-06T16:02:51.940Z      switch      BLACK          0:37.656         0:22.344
2026-06-06T16:02:58.246Z      switch      WHITE          0:43.961         0:16.039
2026-06-06T16:03:10.169Z      switch      BLACK          0:32.038         0:27.962
2026-06-06T16:03:14.267Z      switch      WHITE          0:36.135         0:23.865
2026-06-06T16:03:24.068Z      switch      BLACK          0:26.334         0:33.666
2026-06-06T16:03:29.752Z      switch      WHITE          0:32.017         0:27.983
2026-06-06T16:03:48.678Z      switch      BLACK          0:13.091         0:46.909
2026-06-06T16:03:57.950Z      switch      WHITE          0:22.362         0:37.638
2026-06-06T16:04:02.394Z      switch      BLACK          0:17.919         0:42.081
2026-06-06T16:04:08.756Z      switch      WHITE          0:24.281         0:35.719
2026-06-06T16:04:17.746Z      switch      BLACK          0:15.291         0:44.709
2026-06-06T16:04:24.036Z      switch      WHITE          0:21.580         0:38.420
2026-06-06T16:04:29.104Z      switch      BLACK          0:16.513         0:43.487
2026-06-06T16:04:34.721Z      switch      WHITE          0:22.130         0:37.870
2026-06-06T16:04:40.665Z      switch      BLACK          0:16.187         0:43.813
2026-06-06T16:04:51.220Z      switch      WHITE          0:26.742         0:33.258
2026-06-06T16:04:55.577Z      switch      BLACK          0:22.386         0:37.614
2026-06-06T16:05:02.783Z      switch      WHITE          0:29.591         0:30.409
2026-06-06T16:05:26.276Z      switch      BLACK          0:06.098         0:53.902
2026-06-06T16:05:33.961Z      switch      WHITE          0:13.783         0:46.217
2026-06-06T16:05:39.290Z      switch      BLACK          0:08.455         0:51.545
2026-06-06T16:05:44.634Z      switch      WHITE          0:13.798         0:46.202
2026-06-06T16:05:50.563Z      switch      BLACK          0:07.869         0:52.131
2026-06-06T16:06:01.468Z      switch      WHITE          0:18.774         0:41.226
2026-06-06T16:06:07.225Z      switch      BLACK          0:13.018         0:46.982
2026-06-06T16:06:15.842Z      switch      WHITE          0:21.634         0:38.366
2026-06-06T16:06:21.793Z      switch      BLACK          0:15.683         0:44.317
2026-06-06T16:06:25.630Z      switch      WHITE          0:19.519         0:40.481
2026-06-06T16:06:32.961Z      switch      BLACK          0:12.188         0:47.812
2026-06-06T16:06:42.084Z      switch      WHITE          0:21.310         0:38.690
2026-06-06T16:06:56.840Z      switch      BLACK          0:06.555         0:53.445
2026-06-06T16:07:04.654Z      switch      WHITE          0:14.369         0:45.631
2026-06-06T16:07:09.339Z      switch      BLACK          0:09.685         0:50.315
2026-06-06T16:07:15.297Z      switch      WHITE          0:15.642         0:44.358
2026-06-06T16:07:20.089Z      switch      BLACK          0:10.851         0:49.149
2026-06-06T16:07:27.593Z      switch      WHITE          0:18.354         0:41.646
2026-06-06T16:07:31.556Z      switch      BLACK          0:14.392         0:45.608
2026-06-06T16:07:42.277Z      switch      WHITE          0:25.112         0:34.888
2026-06-06T16:07:45.203Z      switch      BLACK          0:22.186         0:37.814
