# Chess clock game — 2026-06-06 13:17:20 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T13:17:20.322Z      start       WHITE          0:30.000         0:30.000
2026-06-06T13:17:20.322Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T13:18:12.741Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T13:18:12.741Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T13:18:19.543Z      switch      WHITE          0:36.801         0:23.199
2026-06-06T13:18:25.589Z      switch      BLACK          0:30.755         0:29.245
2026-06-06T13:18:29.364Z      switch      WHITE          0:34.530         0:25.470
2026-06-06T13:18:36.485Z      switch      BLACK          0:27.410         0:32.590
2026-06-06T13:18:45.796Z      switch      WHITE          0:36.721         0:23.279
2026-06-06T13:18:51.649Z      switch      BLACK          0:30.869         0:29.131
2026-06-06T13:18:58.079Z      switch      WHITE          0:37.299         0:22.701
2026-06-06T13:19:03.999Z      switch      BLACK          0:31.380         0:28.620
2026-06-06T13:19:11.218Z      switch      WHITE          0:38.599         0:21.401
2026-06-06T13:19:18.806Z      switch      BLACK          0:31.012         0:28.988
2026-06-06T13:19:25.111Z      switch      WHITE          0:37.317         0:22.683
2026-06-06T13:19:31.221Z      switch      BLACK          0:31.208         0:28.792
2026-06-06T13:19:41.413Z      switch      WHITE          0:41.399         0:18.601
2026-06-06T13:19:48.922Z      switch      BLACK          0:33.890         0:26.110
2026-06-06T13:19:54.391Z      switch      WHITE          0:39.358         0:20.642
2026-06-06T13:20:02.209Z      switch      BLACK          0:31.541         0:28.459
2026-06-06T13:20:05.291Z      switch      WHITE          0:34.622         0:25.378
2026-06-06T13:20:14.933Z      switch      BLACK          0:24.980         0:35.020
2026-06-06T13:20:21.694Z      switch      WHITE          0:31.741         0:28.259
2026-06-06T13:20:26.618Z      switch      BLACK          0:26.818         0:33.182
2026-06-06T13:20:32.796Z      switch      WHITE          0:32.996         0:27.004
2026-06-06T13:20:45.043Z      switch      BLACK          0:20.750         0:39.250
2026-06-06T13:20:54.151Z      switch      WHITE          0:29.857         0:30.143
2026-06-06T13:21:00.421Z      switch      BLACK          0:23.587         0:36.413
2026-06-06T13:21:11.005Z      switch      WHITE          0:34.170         0:25.830
2026-06-06T13:21:17.743Z      switch      BLACK          0:27.432         0:32.568
2026-06-06T13:21:26.368Z      switch      WHITE          0:36.056         0:23.944
2026-06-06T13:21:33.329Z      switch      BLACK          0:29.095         0:30.905
2026-06-06T13:21:48.052Z      switch      WHITE          0:43.817         0:16.183
2026-06-06T13:21:54.133Z      switch      BLACK          0:37.737         0:22.263
2026-06-06T13:22:06.005Z      switch      WHITE          0:49.608         0:10.392
2026-06-06T13:22:11.872Z      switch      BLACK          0:43.741         0:16.259
2026-06-06T13:22:16.601Z      switch      WHITE          0:48.469         0:11.531
2026-06-06T13:22:24.648Z      switch      BLACK          0:40.423         0:19.577
2026-06-06T13:22:31.443Z      switch      WHITE          0:47.218         0:12.782
2026-06-06T13:22:40.587Z      switch      BLACK          0:38.075         0:21.925
2026-06-06T13:22:45.907Z      switch      WHITE          0:43.394         0:16.606
2026-06-06T13:22:49.566Z      switch      BLACK          0:39.735         0:20.265
2026-06-06T13:22:57.092Z      switch      WHITE          0:47.260         0:12.740
2026-06-06T13:23:01.834Z      switch      BLACK          0:42.518         0:17.482
2026-06-06T13:23:09.094Z      switch      WHITE          0:49.777         0:10.223
2026-06-06T13:23:14.093Z      switch      BLACK          0:44.778         0:15.222
2026-06-06T13:23:19.654Z      switch      WHITE          0:50.338         0:09.662
2026-06-06T13:23:26.793Z      switch      BLACK          0:43.199         0:16.801
2026-06-06T13:23:32.509Z      switch      WHITE          0:48.914         0:11.086
2026-06-06T13:23:37.187Z      switch      BLACK          0:44.236         0:15.764
2026-06-06T13:23:47.158Z      switch      WHITE          0:54.207         0:05.793
2026-06-06T13:23:54.821Z      switch      BLACK          0:46.544         0:13.456
2026-06-06T13:24:00.459Z      switch      WHITE          0:52.181         0:07.819
2026-06-06T13:24:07.974Z      switch      BLACK          0:44.667         0:15.333
2026-06-06T13:24:15.479Z      switch      WHITE          0:52.172         0:07.828
