# Chess clock game — 2026-06-06 12:04:01 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T12:04:01.709Z      start       WHITE          0:30.000         0:30.000
2026-06-06T12:04:01.709Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T12:04:11.170Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T12:04:11.170Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T12:04:17.998Z      switch      WHITE          0:36.827         0:23.173
2026-06-06T12:04:23.584Z      switch      BLACK          0:31.241         0:28.759
2026-06-06T12:04:29.412Z      switch      WHITE          0:37.068         0:22.932
2026-06-06T12:04:33.669Z      switch      BLACK          0:32.812         0:27.188
2026-06-06T12:04:40.253Z      switch      WHITE          0:39.396         0:20.604
2026-06-06T12:04:46.768Z      switch      BLACK          0:32.882         0:27.118
2026-06-06T12:04:53.765Z      switch      WHITE          0:39.878         0:20.122
2026-06-06T12:05:00.360Z      switch      BLACK          0:33.283         0:26.717
2026-06-06T12:05:07.146Z      switch      WHITE          0:40.068         0:19.932
2026-06-06T12:05:13.551Z      switch      BLACK          0:33.663         0:26.337
2026-06-06T12:05:23.408Z      switch      WHITE          0:43.520         0:16.480
2026-06-06T12:05:30.547Z      switch      BLACK          0:36.382         0:23.618
2026-06-06T12:05:39.367Z      switch      WHITE          0:45.201         0:14.799
2026-06-06T12:05:44.736Z      switch      BLACK          0:39.833         0:20.167
2026-06-06T12:05:54.438Z      switch      WHITE          0:49.535         0:10.465
2026-06-06T12:06:01.781Z      switch      BLACK          0:42.192         0:17.808
2026-06-06T12:06:10.539Z      switch      WHITE          0:50.949         0:09.051
2026-06-06T12:06:16.012Z      switch      BLACK          0:45.476         0:14.524
2026-06-06T12:06:19.641Z      switch      WHITE          0:49.104         0:10.896
2026-06-06T12:06:23.589Z      switch      BLACK          0:45.157         0:14.843
2026-06-06T12:06:30.843Z      switch      WHITE          0:52.411         0:07.589
2026-06-06T12:06:44.864Z      switch      BLACK          0:38.390         0:21.610
2026-06-06T12:06:52.136Z      switch      WHITE          0:45.661         0:14.339
2026-06-06T12:07:03.087Z      switch      BLACK          0:34.711         0:25.289
2026-06-06T12:07:11.359Z      switch      WHITE          0:42.982         0:17.018
2026-06-06T12:07:22.468Z      switch      BLACK          0:31.873         0:28.127
2026-06-06T12:07:30.280Z      switch      WHITE          0:39.684         0:20.316
2026-06-06T12:07:40.999Z      switch      BLACK          0:28.965         0:31.035
2026-06-06T12:07:48.085Z      switch      WHITE          0:36.050         0:23.950
2026-06-06T12:07:58.188Z      switch      BLACK          0:25.947         0:34.053
2026-06-06T12:08:05.984Z      switch      WHITE          0:33.743         0:26.257
2026-06-06T12:08:14.494Z      switch      BLACK          0:25.234         0:34.766
2026-06-06T12:08:22.972Z      switch      WHITE          0:33.712         0:26.288
2026-06-06T12:08:29.213Z      switch      BLACK          0:27.472         0:32.528
2026-06-06T12:08:34.120Z      switch      WHITE          0:32.379         0:27.621
2026-06-06T12:08:48.727Z      switch      BLACK          0:17.773         0:42.227
2026-06-06T12:08:54.920Z      switch      WHITE          0:23.966         0:36.034
2026-06-06T12:09:01.841Z      switch      BLACK          0:17.045         0:42.955
2026-06-06T12:09:09.913Z      switch      WHITE          0:25.116         0:34.884
2026-06-06T12:09:14.621Z      switch      BLACK          0:20.408         0:39.592
2026-06-06T12:09:20.789Z      switch      WHITE          0:26.575         0:33.425
2026-06-06T12:09:25.388Z      switch      BLACK          0:21.976         0:38.024
2026-06-06T12:09:35.242Z      switch      WHITE          0:31.830         0:28.170
2026-06-06T12:09:42.933Z      switch      BLACK          0:24.140         0:35.860
2026-06-06T12:09:51.178Z      switch      WHITE          0:32.384         0:27.616
2026-06-06T12:09:58.432Z      switch      BLACK          0:25.130         0:34.870
2026-06-06T12:10:10.192Z      switch      WHITE          0:36.889         0:23.111
2026-06-06T12:10:19.851Z      switch      BLACK          0:27.230         0:32.770
2026-06-06T12:10:31.193Z      switch      WHITE          0:38.571         0:21.429
2026-06-06T12:10:38.412Z      switch      BLACK          0:31.353         0:28.647
2026-06-06T12:10:43.749Z      switch      WHITE          0:36.690         0:23.310
2026-06-06T12:10:53.596Z      switch      BLACK          0:26.844         0:33.156
2026-06-06T12:11:00.589Z      switch      WHITE          0:33.837         0:26.163
2026-06-06T12:11:07.787Z      switch      BLACK          0:26.640         0:33.360
2026-06-06T12:11:15.629Z      switch      WHITE          0:34.482         0:25.518
2026-06-06T12:11:19.673Z      switch      BLACK          0:30.439         0:29.561
2026-06-06T12:11:29.662Z      switch      WHITE          0:40.428         0:19.572
2026-06-06T12:11:40.548Z      switch      BLACK          0:29.543         0:30.457
2026-06-06T12:11:45.393Z      switch      WHITE          0:34.387         0:25.613
2026-06-06T12:12:01.009Z      switch      BLACK          0:18.771         0:41.229
