# Chess clock game — 2026-06-06 11:35:30 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T11:35:30.746Z      start       WHITE          0:30.000         0:30.000
2026-06-06T11:35:30.746Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T11:38:41.013Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T11:38:41.013Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T11:38:46.148Z      switch      WHITE          0:35.135         0:24.865
2026-06-06T11:38:50.649Z      switch      BLACK          0:30.634         0:29.366
2026-06-06T11:38:54.137Z      switch      WHITE          0:34.121         0:25.879
2026-06-06T11:39:00.424Z      switch      BLACK          0:27.834         0:32.166
2026-06-06T11:39:04.744Z      switch      WHITE          0:32.153         0:27.847
2026-06-06T11:39:12.425Z      switch      BLACK          0:24.472         0:35.528
2026-06-06T11:39:16.779Z      switch      WHITE          0:28.826         0:31.174
2026-06-06T11:39:24.365Z      switch      BLACK          0:21.241         0:38.759
2026-06-06T11:39:30.139Z      switch      WHITE          0:27.015         0:32.985
2026-06-06T11:39:36.958Z      switch      BLACK          0:20.197         0:39.803
2026-06-06T11:39:42.220Z      switch      WHITE          0:25.459         0:34.541
2026-06-06T11:39:55.835Z      switch      BLACK          0:11.845         0:48.155
2026-06-06T11:40:00.458Z      switch      WHITE          0:16.468         0:43.532
2026-06-06T11:40:09.199Z      switch      BLACK          0:07.727         0:52.273
2026-06-06T11:40:11.307Z      switch      WHITE          0:09.834         0:50.166
2026-06-06T11:40:21.145Z      flag        WHITE          0:00.000         1:00.000
