# Chess clock game — 2026-06-06 08:45:54 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T08:45:54.107Z      start       WHITE          0:30.000         0:30.000
2026-06-06T08:45:54.107Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T08:46:11.709Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T08:46:11.710Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T08:46:16.918Z      switch      WHITE          0:35.208         0:24.792
2026-06-06T08:46:22.371Z      switch      BLACK          0:29.756         0:30.244
2026-06-06T08:46:29.181Z      switch      WHITE          0:36.565         0:23.435
2026-06-06T08:46:37.756Z      switch      BLACK          0:27.990         0:32.010
2026-06-06T08:46:45.056Z      switch      WHITE          0:35.289         0:24.711
2026-06-06T08:46:51.516Z      switch      BLACK          0:28.830         0:31.170
2026-06-06T08:47:01.473Z      switch      WHITE          0:38.787         0:21.213
2026-06-06T08:47:05.791Z      switch      BLACK          0:34.470         0:25.530
2026-06-06T08:47:15.551Z      switch      WHITE          0:44.229         0:15.771
2026-06-06T08:47:20.600Z      switch      BLACK          0:39.181         0:20.819
2026-06-06T08:47:27.652Z      switch      WHITE          0:46.233         0:13.767
2026-06-06T08:47:36.318Z      switch      BLACK          0:37.568         0:22.432
2026-06-06T08:47:41.685Z      switch      WHITE          0:42.935         0:17.065
2026-06-06T08:47:48.488Z      switch      BLACK          0:36.132         0:23.868
2026-06-06T08:47:53.365Z      switch      WHITE          0:41.008         0:18.992
2026-06-06T08:48:04.277Z      switch      BLACK          0:30.097         0:29.903
2026-06-06T08:48:09.863Z      switch      WHITE          0:35.683         0:24.317
2026-06-06T08:48:16.171Z      switch      BLACK          0:29.375         0:30.625
2026-06-06T08:48:27.172Z      switch      WHITE          0:40.375         0:19.625
2026-06-06T08:48:32.980Z      switch      BLACK          0:34.568         0:25.432
2026-06-06T08:48:39.481Z      switch      WHITE          0:41.068         0:18.932
2026-06-06T08:48:47.361Z      switch      BLACK          0:33.188         0:26.812
2026-06-06T08:48:55.200Z      switch      WHITE          0:41.027         0:18.973
2026-06-06T08:48:58.674Z      switch      BLACK          0:37.554         0:22.446
2026-06-06T08:49:11.465Z      switch      WHITE          0:50.345         0:09.655
2026-06-06T08:49:14.806Z      switch      BLACK          0:47.005         0:12.995
2026-06-06T08:49:19.237Z      switch      WHITE          0:51.435         0:08.565
2026-06-06T08:49:24.440Z      switch      BLACK          0:46.232         0:13.768
2026-06-06T08:49:30.631Z      switch      WHITE          0:52.422         0:07.578
2026-06-06T08:49:37.085Z      switch      BLACK          0:45.968         0:14.032
2026-06-06T08:49:47.081Z      switch      WHITE          0:55.964         0:04.036
2026-06-06T08:49:54.605Z      switch      BLACK          0:48.441         0:11.559
2026-06-06T08:50:00.471Z      switch      WHITE          0:54.307         0:05.693
2026-06-06T08:50:09.824Z      switch      BLACK          0:44.954         0:15.046
2026-06-06T08:50:17.196Z      switch      WHITE          0:52.326         0:07.674
2026-06-06T08:50:25.124Z      switch      BLACK          0:44.399         0:15.601
2026-06-06T08:50:31.552Z      switch      WHITE          0:50.827         0:09.173
2026-06-06T08:50:41.170Z      switch      BLACK          0:41.210         0:18.790
2026-06-06T08:50:51.903Z      switch      WHITE          0:51.942         0:08.058
2026-06-06T08:50:58.759Z      switch      BLACK          0:45.087         0:14.913
2026-06-06T08:51:04.317Z      switch      WHITE          0:50.645         0:09.355
2026-06-06T08:51:11.533Z      switch      BLACK          0:43.430         0:16.570
2026-06-06T08:51:17.653Z      switch      WHITE          0:49.550         0:10.450
2026-06-06T08:51:23.833Z      switch      BLACK          0:43.371         0:16.629
2026-06-06T08:51:29.035Z      switch      WHITE          0:48.573         0:11.427
2026-06-06T08:51:35.806Z      switch      BLACK          0:41.803         0:18.197
2026-06-06T08:51:42.738Z      switch      WHITE          0:48.735         0:11.265
2026-06-06T08:51:48.658Z      switch      BLACK          0:42.816         0:17.184
2026-06-06T08:51:58.019Z      switch      WHITE          0:52.177         0:07.823
2026-06-06T08:52:06.862Z      switch      BLACK          0:43.334         0:16.666
2026-06-06T08:52:11.821Z      switch      WHITE          0:48.292         0:11.708
2026-06-06T08:52:17.828Z      switch      BLACK          0:42.285         0:17.715
2026-06-06T08:52:26.920Z      switch      WHITE          0:51.376         0:08.624
2026-06-06T08:52:36.142Z      switch      BLACK          0:42.154         0:17.846
2026-06-06T08:52:42.449Z      switch      WHITE          0:48.460         0:11.540
2026-06-06T08:52:52.571Z      switch      BLACK          0:38.338         0:21.662
2026-06-06T08:53:02.861Z      switch      WHITE          0:48.627         0:11.373
2026-06-06T08:53:08.593Z      switch      BLACK          0:42.895         0:17.105
2026-06-06T08:53:16.582Z      switch      WHITE          0:50.883         0:09.117
2026-06-06T08:53:23.399Z      switch      BLACK          0:44.067         0:15.933
2026-06-06T08:53:39.057Z      switch      WHITE          0:59.725         0:00.275
2026-06-06T08:53:44.843Z      switch      BLACK          0:53.940         0:06.060
2026-06-06T08:53:50.175Z      switch      WHITE          0:59.272         0:00.728
2026-06-06T08:53:54.642Z      switch      BLACK          0:54.806         0:05.194
2026-06-06T08:53:59.876Z      flag        BLACK          1:00.000         0:00.000
