# Chess clock game — 2026-06-06 08:26:54 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T08:26:54.499Z      start       WHITE          0:30.000         0:30.000
2026-06-06T08:26:54.499Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T08:27:00.701Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T08:27:04.968Z      switch      BLACK          0:25.733         0:34.267
2026-06-06T08:27:05.679Z      switch      WHITE          0:26.443         0:33.557
2026-06-06T08:27:06.451Z      switch      BLACK          0:25.672         0:34.328
2026-06-06T08:27:07.007Z      switch      WHITE          0:26.228         0:33.772
2026-06-06T08:27:07.680Z      switch      BLACK          0:25.556         0:34.444
2026-06-06T08:27:08.012Z      switch      WHITE          0:25.888         0:34.112
