# Chess clock game — 2026-06-06 10:30:22 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T10:30:22.932Z      start       WHITE          0:30.000         0:30.000
2026-06-06T10:30:22.932Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T10:33:14.242Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T10:33:14.242Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T10:33:23.539Z      switch      WHITE          0:39.296         0:20.704
2026-06-06T10:33:26.363Z      switch      BLACK          0:36.472         0:23.528
2026-06-06T10:33:34.972Z      switch      WHITE          0:45.080         0:14.920
2026-06-06T10:33:40.552Z      switch      BLACK          0:39.500         0:20.500
2026-06-06T10:33:50.638Z      switch      WHITE          0:49.585         0:10.415
2026-06-06T10:33:56.132Z      switch      BLACK          0:44.092         0:15.908
2026-06-06T10:34:01.589Z      switch      WHITE          0:49.549         0:10.451
2026-06-06T10:34:04.326Z      switch      BLACK          0:46.812         0:13.188
2026-06-06T10:34:10.726Z      switch      WHITE          0:53.212         0:06.788
2026-06-06T10:34:19.487Z      switch      BLACK          0:44.452         0:15.548
2026-06-06T10:34:22.824Z      switch      WHITE          0:47.789         0:12.211
2026-06-06T10:34:24.966Z      switch      BLACK          0:45.648         0:14.352
2026-06-06T10:34:29.489Z      switch      WHITE          0:50.171         0:09.829
2026-06-06T10:34:39.782Z      switch      BLACK          0:39.879         0:20.121
2026-06-06T10:34:44.014Z      switch      WHITE          0:44.110         0:15.890
2026-06-06T10:34:48.934Z      switch      BLACK          0:39.190         0:20.810
2026-06-06T10:34:55.412Z      switch      WHITE          0:45.668         0:14.332
2026-06-06T10:35:01.451Z      switch      BLACK          0:39.630         0:20.370
2026-06-06T10:35:06.499Z      switch      WHITE          0:44.677         0:15.323
2026-06-06T10:35:20.328Z      switch      BLACK          0:30.849         0:29.151
2026-06-06T10:35:25.542Z      switch      WHITE          0:36.063         0:23.937
2026-06-06T10:35:32.832Z      switch      BLACK          0:28.774         0:31.226
2026-06-06T10:35:37.784Z      switch      WHITE          0:33.725         0:26.275
2026-06-06T10:35:45.569Z      switch      BLACK          0:25.940         0:34.060
2026-06-06T10:35:55.827Z      switch      WHITE          0:36.198         0:23.802
2026-06-06T10:36:00.089Z      switch      BLACK          0:31.937         0:28.063
2026-06-06T10:36:11.055Z      switch      WHITE          0:42.903         0:17.097
2026-06-06T10:36:16.807Z      switch      BLACK          0:37.152         0:22.848
2026-06-06T10:36:22.310Z      switch      WHITE          0:42.655         0:17.345
2026-06-06T10:36:27.715Z      switch      BLACK          0:37.251         0:22.749
2026-06-06T10:36:39.116Z      switch      WHITE          0:48.652         0:11.348
2026-06-06T10:36:47.144Z      switch      BLACK          0:40.625         0:19.375
2026-06-06T10:36:53.774Z      switch      WHITE          0:47.254         0:12.746
2026-06-06T10:37:05.450Z      switch      BLACK          0:35.578         0:24.422
2026-06-06T10:37:11.537Z      switch      WHITE          0:41.664         0:18.336
2026-06-06T10:37:23.960Z      switch      BLACK          0:29.242         0:30.758
2026-06-06T10:37:30.110Z      switch      WHITE          0:35.391         0:24.609
2026-06-06T10:37:33.456Z      switch      BLACK          0:32.046         0:27.954
2026-06-06T10:37:46.497Z      switch      WHITE          0:45.087         0:14.913
2026-06-06T10:37:52.496Z      switch      BLACK          0:39.088         0:20.912
2026-06-06T10:37:58.509Z      switch      WHITE          0:45.100         0:14.900
2026-06-06T10:38:01.846Z      switch      BLACK          0:41.763         0:18.237
2026-06-06T10:38:09.139Z      switch      WHITE          0:49.055         0:10.945
2026-06-06T10:38:13.959Z      switch      BLACK          0:44.236         0:15.764
2026-06-06T10:38:22.207Z      switch      WHITE          0:52.484         0:07.516
