# Chess clock game — 2026-06-06 07:36:13 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T07:36:13.211Z      start       WHITE          0:30.000         0:30.000
2026-06-06T07:36:13.211Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T07:36:15.193Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T07:36:25.215Z      switch      BLACK          0:19.978         0:40.022
2026-06-06T07:36:32.495Z      switch      WHITE          0:27.258         0:32.742
2026-06-06T07:36:38.206Z      switch      BLACK          0:21.548         0:38.452
2026-06-06T07:36:43.841Z      switch      WHITE          0:27.183         0:32.817
2026-06-06T07:37:00.856Z      switch      BLACK          0:10.168         0:49.832
2026-06-06T07:37:06.496Z      switch      WHITE          0:15.807         0:44.193
2026-06-06T07:37:11.750Z      switch      BLACK          0:10.553         0:49.447
2026-06-06T07:37:15.086Z      switch      WHITE          0:13.888         0:46.112
2026-06-06T07:37:26.704Z      switch      BLACK          0:02.270         0:57.730
2026-06-06T07:37:30.570Z      switch      WHITE          0:06.135         0:53.865
2026-06-06T07:37:36.738Z      flag        WHITE          0:00.000         1:00.000
