# Chess clock game — 2026-06-06 09:48:17 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T09:48:17.325Z      start       WHITE          0:30.000         0:30.000
2026-06-06T09:48:17.325Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T09:48:45.795Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T09:48:45.795Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T09:48:50.991Z      switch      WHITE          0:35.195         0:24.805
2026-06-06T09:48:58.859Z      switch      BLACK          0:27.328         0:32.672
2026-06-06T09:49:02.971Z      switch      WHITE          0:31.439         0:28.561
2026-06-06T09:49:06.691Z      switch      BLACK          0:27.719         0:32.281
2026-06-06T09:49:11.712Z      switch      WHITE          0:32.739         0:27.261
2026-06-06T09:49:20.798Z      switch      BLACK          0:23.653         0:36.347
2026-06-06T09:49:24.933Z      switch      WHITE          0:27.787         0:32.213
2026-06-06T09:49:31.711Z      switch      BLACK          0:21.010         0:38.990
2026-06-06T09:49:36.455Z      switch      WHITE          0:25.754         0:34.246
2026-06-06T09:49:46.968Z      switch      BLACK          0:15.242         0:44.758
2026-06-06T09:49:53.196Z      switch      WHITE          0:21.470         0:38.530
2026-06-06T09:49:56.870Z      switch      BLACK          0:17.797         0:42.203
2026-06-06T09:50:03.414Z      switch      WHITE          0:24.340         0:35.660
2026-06-06T09:50:08.978Z      switch      BLACK          0:18.776         0:41.224
2026-06-06T09:50:18.078Z      switch      WHITE          0:27.875         0:32.125
2026-06-06T09:50:45.961Z      flag        WHITE          0:00.000         1:00.000
