# Chess clock game — 2026-06-06 12:15:01 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T12:15:01.004Z      start       WHITE          0:30.000         0:30.000
2026-06-06T12:15:01.004Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T12:15:03.180Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T12:15:03.180Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T12:15:30.596Z      pause       BLACK          0:57.415         0:02.585
2026-06-06T12:16:16.039Z      resume      BLACK          0:57.415         0:02.585
2026-06-06T12:16:16.039Z      switch      WHITE          0:57.415         0:02.585
2026-06-06T12:16:21.269Z      switch      BLACK          0:52.186         0:07.814
2026-06-06T12:16:24.375Z      switch      WHITE          0:55.291         0:04.709
2026-06-06T12:16:32.432Z      switch      BLACK          0:47.234         0:12.766
2026-06-06T12:16:36.966Z      switch      WHITE          0:51.767         0:08.233
2026-06-06T12:16:49.897Z      switch      BLACK          0:38.836         0:21.164
2026-06-06T12:16:58.060Z      switch      WHITE          0:46.998         0:13.002
2026-06-06T12:17:09.800Z      switch      BLACK          0:35.259         0:24.741
2026-06-06T12:17:13.680Z      switch      WHITE          0:39.139         0:20.861
2026-06-06T12:17:38.643Z      switch      BLACK          0:14.176         0:45.824
2026-06-06T12:17:42.732Z      switch      WHITE          0:18.264         0:41.736
2026-06-06T12:17:49.044Z      switch      BLACK          0:11.952         0:48.048
2026-06-06T12:17:55.197Z      switch      WHITE          0:18.104         0:41.896
2026-06-06T12:18:00.131Z      switch      BLACK          0:13.170         0:46.830
2026-06-06T12:18:04.791Z      switch      WHITE          0:17.829         0:42.171
2026-06-06T12:18:09.484Z      switch      BLACK          0:13.137         0:46.863
2026-06-06T12:18:14.012Z      switch      WHITE          0:17.665         0:42.335
2026-06-06T12:18:20.499Z      switch      BLACK          0:11.179         0:48.821
2026-06-06T12:18:24.030Z      switch      WHITE          0:14.709         0:45.291
2026-06-06T12:18:32.393Z      switch      BLACK          0:06.346         0:53.654
2026-06-06T12:18:37.114Z      switch      WHITE          0:11.066         0:48.934
2026-06-06T12:18:41.434Z      switch      BLACK          0:06.746         0:53.254
2026-06-06T12:18:47.155Z      switch      WHITE          0:12.467         0:47.533
2026-06-06T12:18:59.654Z      flag        WHITE          0:00.000         1:00.000
