# Chess clock game — 2026-06-06 09:17:29 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T09:17:29.695Z      start       WHITE          0:30.000         0:30.000
2026-06-06T09:17:29.695Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T09:19:25.067Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T09:19:25.067Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T09:19:30.276Z      switch      WHITE          0:35.208         0:24.792
2026-06-06T09:19:35.282Z      switch      BLACK          0:30.202         0:29.798
2026-06-06T09:19:41.192Z      switch      WHITE          0:36.111         0:23.889
2026-06-06T09:19:46.086Z      switch      BLACK          0:31.217         0:28.783
2026-06-06T09:19:50.288Z      switch      WHITE          0:35.419         0:24.581
2026-06-06T09:20:02.139Z      switch      BLACK          0:23.568         0:36.432
2026-06-06T09:20:07.418Z      switch      WHITE          0:28.847         0:31.153
2026-06-06T09:20:12.878Z      switch      BLACK          0:23.388         0:36.612
2026-06-06T09:20:16.037Z      switch      WHITE          0:26.547         0:33.453
2026-06-06T09:20:22.966Z      switch      BLACK          0:19.619         0:40.381
2026-06-06T09:20:28.358Z      switch      WHITE          0:25.011         0:34.989
2026-06-06T09:20:42.322Z      switch      BLACK          0:11.047         0:48.953
2026-06-06T09:20:45.030Z      switch      WHITE          0:13.754         0:46.246
2026-06-06T09:20:50.778Z      switch      BLACK          0:08.006         0:51.994
2026-06-06T09:20:53.174Z      switch      WHITE          0:10.402         0:49.598
2026-06-06T09:20:58.734Z      switch      BLACK          0:04.842         0:55.158
2026-06-06T09:21:04.576Z      switch      WHITE          0:10.683         0:49.317
2026-06-06T09:21:09.998Z      switch      BLACK          0:05.262         0:54.738
2026-06-06T09:21:12.856Z      switch      WHITE          0:08.119         0:51.881
2026-06-06T09:21:18.371Z      switch      BLACK          0:02.604         0:57.396
2026-06-06T09:21:22.752Z      switch      WHITE          0:06.984         0:53.016
2026-06-06T09:21:29.741Z      flag        WHITE          0:00.000         1:00.000
