# Chess clock game — 2026-06-06 10:08:04 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T10:08:04.227Z      start       WHITE          0:30.000         0:30.000
2026-06-06T10:08:04.227Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T10:08:58.385Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T10:08:58.385Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T10:09:04.808Z      switch      WHITE          0:36.422         0:23.578
2026-06-06T10:09:08.209Z      switch      BLACK          0:33.021         0:26.979
2026-06-06T10:09:14.583Z      switch      WHITE          0:39.394         0:20.606
2026-06-06T10:09:20.545Z      switch      BLACK          0:33.433         0:26.567
2026-06-06T10:09:25.121Z      switch      WHITE          0:38.009         0:21.991
2026-06-06T10:09:32.535Z      switch      BLACK          0:30.595         0:29.405
2026-06-06T10:09:37.658Z      switch      WHITE          0:35.717         0:24.283
2026-06-06T10:09:45.395Z      switch      BLACK          0:27.981         0:32.019
2026-06-06T10:09:52.318Z      switch      WHITE          0:34.904         0:25.096
2026-06-06T10:10:00.435Z      switch      BLACK          0:26.788         0:33.212
2026-06-06T10:10:06.496Z      switch      WHITE          0:32.849         0:27.151
2026-06-06T10:10:17.606Z      switch      BLACK          0:21.740         0:38.260
2026-06-06T10:10:24.374Z      switch      WHITE          0:28.508         0:31.492
2026-06-06T10:10:32.706Z      switch      BLACK          0:20.177         0:39.823
2026-06-06T10:10:39.802Z      switch      WHITE          0:27.272         0:32.728
2026-06-06T10:10:47.027Z      switch      BLACK          0:20.047         0:39.953
2026-06-06T10:10:55.795Z      switch      WHITE          0:28.814         0:31.186
2026-06-06T10:11:08.059Z      switch      BLACK          0:16.551         0:43.449
2026-06-06T10:11:12.111Z      switch      WHITE          0:20.603         0:39.397
2026-06-06T10:11:19.965Z      switch      BLACK          0:12.750         0:47.250
2026-06-06T10:11:24.388Z      switch      WHITE          0:17.173         0:42.827
2026-06-06T10:11:27.518Z      switch      BLACK          0:14.044         0:45.956
2026-06-06T10:11:38.065Z      switch      WHITE          0:24.591         0:35.409
2026-06-06T10:11:41.856Z      switch      BLACK          0:20.801         0:39.199
2026-06-06T10:11:54.290Z      switch      WHITE          0:33.235         0:26.765
2026-06-06T10:12:01.375Z      switch      BLACK          0:26.151         0:33.849
2026-06-06T10:12:08.209Z      switch      WHITE          0:32.985         0:27.015
2026-06-06T10:12:25.743Z      switch      BLACK          0:15.452         0:44.548
2026-06-06T10:12:32.029Z      switch      WHITE          0:21.738         0:38.262
2026-06-06T10:12:41.760Z      switch      BLACK          0:12.007         0:47.993
2026-06-06T10:12:48.949Z      switch      WHITE          0:19.195         0:40.805
2026-06-06T10:12:54.013Z      switch      BLACK          0:14.131         0:45.869
2026-06-06T10:13:02.232Z      switch      WHITE          0:22.350         0:37.650
2026-06-06T10:13:08.971Z      switch      BLACK          0:15.612         0:44.388
2026-06-06T10:13:19.258Z      switch      WHITE          0:25.899         0:34.101
2026-06-06T10:13:27.008Z      switch      BLACK          0:18.150         0:41.850
2026-06-06T10:13:45.260Z      switch      WHITE          0:36.402         0:23.598
2026-06-06T10:13:52.674Z      switch      BLACK          0:28.989         0:31.011
2026-06-06T10:14:00.615Z      switch      WHITE          0:36.929         0:23.071
2026-06-06T10:14:12.865Z      switch      BLACK          0:24.679         0:35.321
2026-06-06T10:14:16.955Z      switch      WHITE          0:28.768         0:31.232
2026-06-06T10:14:27.490Z      switch      BLACK          0:18.233         0:41.767
2026-06-06T10:14:32.695Z      switch      WHITE          0:23.437         0:36.563
2026-06-06T10:14:40.838Z      switch      BLACK          0:15.294         0:44.706
2026-06-06T10:15:11.843Z      switch      WHITE          0:46.299         0:13.701
2026-06-06T10:15:20.948Z      switch      BLACK          0:37.195         0:22.805
2026-06-06T10:15:26.952Z      switch      WHITE          0:43.199         0:16.801
2026-06-06T10:15:35.446Z      switch      BLACK          0:34.706         0:25.294
2026-06-06T10:15:42.437Z      switch      WHITE          0:41.697         0:18.303
2026-06-06T10:15:49.046Z      switch      BLACK          0:35.088         0:24.912
2026-06-06T10:15:59.003Z      switch      WHITE          0:45.044         0:14.956
2026-06-06T10:16:07.765Z      switch      BLACK          0:36.283         0:23.717
2026-06-06T10:16:16.324Z      switch      WHITE          0:44.842         0:15.158
2026-06-06T10:16:23.481Z      switch      BLACK          0:37.686         0:22.314
2026-06-06T10:16:38.083Z      switch      WHITE          0:52.287         0:07.713
2026-06-06T10:16:49.032Z      switch      BLACK          0:41.338         0:18.662
2026-06-06T10:17:03.422Z      switch      WHITE          0:55.727         0:04.273
2026-06-06T10:17:13.505Z      switch      BLACK          0:45.644         0:14.356
2026-06-06T10:17:18.705Z      switch      WHITE          0:50.843         0:09.157
2026-06-06T10:17:29.715Z      switch      BLACK          0:39.833         0:20.167
2026-06-06T10:17:34.258Z      switch      WHITE          0:44.376         0:15.624
2026-06-06T10:17:43.613Z      switch      BLACK          0:35.022         0:24.978
2026-06-06T10:18:08.675Z      flag        BLACK          1:00.000         0:00.000
