# Chess clock game — 2026-06-06 14:57:38 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T14:57:38.262Z      start       WHITE          0:30.000         0:30.000
2026-06-06T14:57:38.262Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T14:58:15.551Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T14:58:15.551Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T14:58:20.304Z      switch      WHITE          0:34.752         0:25.248
2026-06-06T14:58:25.072Z      switch      BLACK          0:29.984         0:30.016
2026-06-06T14:58:29.587Z      switch      WHITE          0:34.498         0:25.502
2026-06-06T14:58:35.130Z      switch      BLACK          0:28.956         0:31.044
2026-06-06T14:58:39.854Z      switch      WHITE          0:33.680         0:26.320
2026-06-06T14:58:41.333Z      switch      BLACK          0:32.202         0:27.798
2026-06-06T14:58:48.261Z      switch      WHITE          0:39.130         0:20.870
2026-06-06T14:58:53.500Z      switch      BLACK          0:33.892         0:26.108
2026-06-06T14:58:59.935Z      switch      WHITE          0:40.326         0:19.674
2026-06-06T14:59:06.650Z      switch      BLACK          0:33.611         0:26.389
2026-06-06T14:59:13.043Z      switch      WHITE          0:40.003         0:19.997
2026-06-06T14:59:19.005Z      switch      BLACK          0:34.042         0:25.958
2026-06-06T14:59:24.094Z      switch      WHITE          0:39.131         0:20.869
2026-06-06T14:59:33.362Z      switch      BLACK          0:29.863         0:30.137
2026-06-06T14:59:37.351Z      switch      WHITE          0:33.851         0:26.149
2026-06-06T14:59:47.290Z      switch      BLACK          0:23.912         0:36.088
2026-06-06T14:59:52.389Z      switch      WHITE          0:29.011         0:30.989
2026-06-06T15:00:01.684Z      switch      BLACK          0:19.716         0:40.284
2026-06-06T15:00:07.099Z      switch      WHITE          0:25.130         0:34.870
2026-06-06T15:00:13.335Z      switch      BLACK          0:18.894         0:41.106
2026-06-06T15:00:20.255Z      switch      WHITE          0:25.814         0:34.186
2026-06-06T15:00:27.551Z      switch      BLACK          0:18.519         0:41.481
2026-06-06T15:00:33.717Z      switch      WHITE          0:24.684         0:35.316
2026-06-06T15:00:50.047Z      switch      BLACK          0:08.354         0:51.646
2026-06-06T15:01:02.005Z      switch      WHITE          0:20.311         0:39.689
2026-06-06T15:01:08.700Z      switch      BLACK          0:13.617         0:46.383
2026-06-06T15:01:13.924Z      switch      WHITE          0:18.840         0:41.160
2026-06-06T15:01:21.993Z      switch      BLACK          0:10.772         0:49.228
2026-06-06T15:01:26.821Z      switch      WHITE          0:15.599         0:44.401
2026-06-06T15:01:34.596Z      switch      BLACK          0:07.825         0:52.175
2026-06-06T15:01:39.668Z      switch      WHITE          0:12.897         0:47.103
2026-06-06T15:01:44.265Z      switch      BLACK          0:08.301         0:51.699
2026-06-06T15:01:49.994Z      switch      WHITE          0:14.029         0:45.971
2026-06-06T15:01:55.139Z      switch      BLACK          0:08.885         0:51.115
2026-06-06T15:02:02.336Z      switch      WHITE          0:16.081         0:43.919
2026-06-06T15:02:08.462Z      switch      BLACK          0:09.955         0:50.045
2026-06-06T15:02:14.209Z      switch      WHITE          0:15.701         0:44.299
2026-06-06T15:02:19.990Z      switch      BLACK          0:09.921         0:50.079
2026-06-06T15:02:33.157Z      switch      WHITE          0:23.088         0:36.912
2026-06-06T15:02:38.280Z      switch      BLACK          0:17.966         0:42.034
2026-06-06T15:02:45.107Z      switch      WHITE          0:24.792         0:35.208
2026-06-06T15:02:50.664Z      switch      BLACK          0:19.236         0:40.764
2026-06-06T15:02:59.466Z      switch      WHITE          0:28.038         0:31.962
2026-06-06T15:03:05.758Z      switch      BLACK          0:21.747         0:38.253
2026-06-06T15:03:10.691Z      switch      WHITE          0:26.679         0:33.321
2026-06-06T15:03:19.263Z      switch      BLACK          0:18.107         0:41.893
2026-06-06T15:03:27.193Z      switch      WHITE          0:26.036         0:33.964
2026-06-06T15:03:34.918Z      switch      BLACK          0:18.311         0:41.689
2026-06-06T15:03:40.029Z      switch      WHITE          0:23.421         0:36.579
2026-06-06T15:03:47.490Z      switch      BLACK          0:15.960         0:44.040
2026-06-06T15:04:08.487Z      switch      WHITE          0:36.956         0:23.044
2026-06-06T15:04:12.184Z      switch      BLACK          0:33.259         0:26.741
2026-06-06T15:04:22.252Z      switch      WHITE          0:43.327         0:16.673
2026-06-06T15:04:29.638Z      switch      BLACK          0:35.941         0:24.059
2026-06-06T15:04:53.761Z      flag        BLACK          1:00.000         0:00.000
