# Chess clock game — 2026-06-06 13:54:51 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T13:54:51.232Z      start       WHITE          0:30.000         0:30.000
2026-06-06T13:54:51.232Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T13:54:55.646Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T13:54:55.646Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T13:55:25.186Z      switch      WHITE          0:59.540         0:00.460
2026-06-06T13:55:31.824Z      switch      BLACK          0:52.903         0:07.097
2026-06-06T13:55:37.540Z      switch      WHITE          0:58.619         0:01.381
2026-06-06T13:56:36.159Z      flag        WHITE          0:00.000         1:00.000
