# Chess clock game — 2026-06-06 08:01:48 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T08:01:48.769Z      start       WHITE          0:30.000         0:30.000
2026-06-06T08:01:48.769Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T08:01:55.983Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T08:01:55.983Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T08:02:02.414Z      switch      WHITE          0:36.430         0:23.570
2026-06-06T08:02:05.989Z      switch      BLACK          0:32.855         0:27.145
2026-06-06T08:02:12.253Z      switch      WHITE          0:39.118         0:20.882
2026-06-06T08:02:22.218Z      switch      BLACK          0:29.153         0:30.847
2026-06-06T08:02:27.034Z      switch      WHITE          0:33.968         0:26.032
2026-06-06T08:02:32.594Z      switch      BLACK          0:28.409         0:31.591
2026-06-06T08:02:36.755Z      switch      WHITE          0:32.570         0:27.430
2026-06-06T08:02:42.518Z      switch      BLACK          0:26.807         0:33.193
2026-06-06T08:02:48.891Z      switch      WHITE          0:33.179         0:26.821
2026-06-06T08:02:56.805Z      switch      BLACK          0:25.265         0:34.735
2026-06-06T08:03:03.247Z      switch      WHITE          0:31.706         0:28.294
2026-06-06T08:03:09.815Z      switch      BLACK          0:25.138         0:34.862
2026-06-06T08:03:17.476Z      switch      WHITE          0:32.798         0:27.202
2026-06-06T08:03:24.909Z      switch      BLACK          0:25.365         0:34.635
2026-06-06T08:03:30.108Z      switch      WHITE          0:30.563         0:29.437
2026-06-06T08:03:35.132Z      switch      BLACK          0:25.540         0:34.460
2026-06-06T08:03:43.585Z      switch      WHITE          0:33.992         0:26.008
2026-06-06T08:03:48.356Z      switch      BLACK          0:29.221         0:30.779
2026-06-06T08:03:53.855Z      switch      WHITE          0:34.719         0:25.281
2026-06-06T08:04:02.686Z      switch      BLACK          0:25.888         0:34.112
2026-06-06T08:04:11.506Z      switch      WHITE          0:34.707         0:25.293
2026-06-06T08:04:15.861Z      switch      BLACK          0:30.352         0:29.648
2026-06-06T08:04:21.524Z      switch      WHITE          0:36.015         0:23.985
2026-06-06T08:04:41.333Z      switch      BLACK          0:16.206         0:43.794
2026-06-06T08:05:17.138Z      pause       BLACK          0:52.010         0:07.990
2026-06-06T08:05:36.231Z      resume      BLACK          0:52.010         0:07.990
2026-06-06T08:05:44.310Z      flag        BLACK          1:00.000         0:00.000
