# Chess clock game — 2026-06-06 07:30:49 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T07:30:49.985Z      start       WHITE          0:30.000         0:30.000
2026-06-06T07:30:49.985Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T07:32:41.176Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T07:32:41.176Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T07:32:46.949Z      switch      WHITE          0:35.773         0:24.227
2026-06-06T07:32:52.252Z      switch      BLACK          0:30.470         0:29.530
2026-06-06T07:32:56.538Z      switch      WHITE          0:34.756         0:25.244
2026-06-06T07:33:02.605Z      switch      BLACK          0:28.690         0:31.310
2026-06-06T07:33:06.164Z      switch      WHITE          0:32.248         0:27.752
2026-06-06T07:33:15.873Z      switch      BLACK          0:22.539         0:37.461
2026-06-06T07:33:20.607Z      switch      WHITE          0:27.272         0:32.728
2026-06-06T07:33:26.735Z      switch      BLACK          0:21.144         0:38.856
2026-06-06T07:33:31.120Z      switch      WHITE          0:25.528         0:34.472
2026-06-06T07:33:35.408Z      switch      BLACK          0:21.240         0:38.760
2026-06-06T07:33:40.228Z      switch      WHITE          0:26.059         0:33.941
2026-06-06T07:33:44.962Z      switch      BLACK          0:21.326         0:38.674
2026-06-06T07:33:52.024Z      switch      WHITE          0:28.388         0:31.612
2026-06-06T07:33:55.678Z      switch      BLACK          0:24.735         0:35.265
2026-06-06T07:33:59.408Z      switch      WHITE          0:28.465         0:31.535
2026-06-06T07:34:03.839Z      switch      BLACK          0:24.034         0:35.966
2026-06-06T07:34:15.399Z      switch      WHITE          0:35.593         0:24.407
2026-06-06T07:34:23.035Z      switch      BLACK          0:27.958         0:32.042
2026-06-06T07:34:27.930Z      switch      WHITE          0:32.853         0:27.147
2026-06-06T07:34:36.881Z      switch      BLACK          0:23.902         0:36.098
2026-06-06T07:34:41.417Z      switch      WHITE          0:28.437         0:31.563
2026-06-06T07:34:49.986Z      switch      BLACK          0:19.868         0:40.132
2026-06-06T07:34:56.640Z      switch      WHITE          0:26.521         0:33.479
2026-06-06T07:35:03.804Z      switch      BLACK          0:19.357         0:40.643
2026-06-06T07:35:09.635Z      switch      WHITE          0:25.187         0:34.813
2026-06-06T07:35:17.159Z      switch      BLACK          0:17.664         0:42.336
2026-06-06T07:35:21.366Z      switch      WHITE          0:21.871         0:38.129
2026-06-06T07:35:41.936Z      switch      BLACK          0:01.301         0:58.699
2026-06-06T07:35:53.575Z      switch      WHITE          0:12.940         0:47.060
2026-06-06T07:36:06.582Z      flag        WHITE          0:00.000         1:00.000
