# Chess clock game — 2026-06-06 08:41:30 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T08:41:30.605Z      start       WHITE          0:30.000         0:30.000
2026-06-06T08:41:30.605Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T08:41:51.531Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T08:41:51.531Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T08:41:58.097Z      switch      WHITE          0:36.565         0:23.435
2026-06-06T08:42:01.653Z      switch      BLACK          0:33.010         0:26.990
2026-06-06T08:42:13.340Z      switch      WHITE          0:44.696         0:15.304
2026-06-06T08:42:18.342Z      switch      BLACK          0:39.694         0:20.306
2026-06-06T08:42:27.905Z      switch      WHITE          0:49.256         0:10.744
2026-06-06T08:42:33.230Z      switch      BLACK          0:43.931         0:16.069
2026-06-06T08:42:40.752Z      switch      WHITE          0:51.453         0:08.547
2026-06-06T08:42:45.981Z      switch      BLACK          0:46.225         0:13.775
2026-06-06T08:42:52.205Z      switch      WHITE          0:52.448         0:07.552
2026-06-06T08:42:59.479Z      switch      BLACK          0:45.174         0:14.826
2026-06-06T08:43:09.907Z      switch      WHITE          0:55.601         0:04.399
2026-06-06T08:43:14.113Z      switch      BLACK          0:51.395         0:08.605
2026-06-06T08:43:17.805Z      switch      WHITE          0:55.086         0:04.914
2026-06-06T08:43:25.056Z      switch      BLACK          0:47.836         0:12.164
2026-06-06T08:43:30.430Z      switch      WHITE          0:53.210         0:06.790
2026-06-06T08:43:37.258Z      switch      BLACK          0:46.383         0:13.617
2026-06-06T08:43:47.964Z      switch      WHITE          0:57.089         0:02.911
2026-06-06T08:43:53.076Z      switch      BLACK          0:51.978         0:08.022
2026-06-06T08:43:58.262Z      switch      WHITE          0:57.164         0:02.836
2026-06-06T08:44:02.500Z      switch      BLACK          0:52.926         0:07.074
2026-06-06T08:44:09.656Z      flag        BLACK          1:00.000         0:00.000
