# Chess clock game — 2026-06-06 13:57:20 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T13:57:20.506Z      start       WHITE          0:30.000         0:30.000
2026-06-06T13:57:20.506Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T13:57:44.599Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T13:57:44.599Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T13:57:50.484Z      switch      WHITE          0:35.885         0:24.115
2026-06-06T13:57:55.276Z      switch      BLACK          0:31.093         0:28.907
2026-06-06T13:58:01.015Z      switch      WHITE          0:36.831         0:23.169
2026-06-06T13:58:06.171Z      switch      BLACK          0:31.676         0:28.324
2026-06-06T13:58:13.678Z      switch      WHITE          0:39.183         0:20.817
2026-06-06T13:58:20.605Z      switch      BLACK          0:32.257         0:27.743
2026-06-06T13:58:28.794Z      switch      WHITE          0:40.446         0:19.554
2026-06-06T13:58:36.693Z      switch      BLACK          0:32.548         0:27.452
2026-06-06T13:58:47.346Z      switch      WHITE          0:43.200         0:16.800
2026-06-06T13:58:51.590Z      switch      BLACK          0:38.957         0:21.043
2026-06-06T13:58:54.840Z      switch      WHITE          0:42.207         0:17.793
2026-06-06T13:58:58.516Z      switch      BLACK          0:38.532         0:21.468
2026-06-06T13:59:04.233Z      switch      WHITE          0:44.248         0:15.752
2026-06-06T13:59:12.459Z      switch      BLACK          0:36.023         0:23.977
2026-06-06T13:59:18.721Z      switch      WHITE          0:42.285         0:17.715
2026-06-06T13:59:25.271Z      switch      BLACK          0:35.736         0:24.264
2026-06-06T13:59:30.229Z      switch      WHITE          0:40.694         0:19.306
2026-06-06T13:59:38.067Z      switch      BLACK          0:32.856         0:27.144
2026-06-06T13:59:47.766Z      switch      WHITE          0:42.554         0:17.446
2026-06-06T13:59:59.221Z      switch      BLACK          0:31.100         0:28.900
2026-06-06T14:00:05.833Z      switch      WHITE          0:37.712         0:22.288
2026-06-06T14:00:15.567Z      switch      BLACK          0:27.978         0:32.022
2026-06-06T14:00:23.413Z      switch      WHITE          0:35.823         0:24.177
2026-06-06T14:00:29.952Z      switch      BLACK          0:29.284         0:30.716
2026-06-06T14:00:36.440Z      switch      WHITE          0:35.772         0:24.228
2026-06-06T14:00:43.003Z      switch      BLACK          0:29.209         0:30.791
2026-06-06T14:00:49.595Z      switch      WHITE          0:35.800         0:24.200
2026-06-06T14:01:00.316Z      switch      BLACK          0:25.080         0:34.920
2026-06-06T14:01:13.099Z      switch      WHITE          0:37.863         0:22.137
2026-06-06T14:01:19.031Z      switch      BLACK          0:31.932         0:28.068
2026-06-06T14:01:28.256Z      switch      WHITE          0:41.157         0:18.843
2026-06-06T14:01:33.923Z      switch      BLACK          0:35.491         0:24.509
2026-06-06T14:01:40.673Z      switch      WHITE          0:42.241         0:17.759
2026-06-06T14:01:48.371Z      switch      BLACK          0:34.544         0:25.456
2026-06-06T14:01:52.420Z      switch      WHITE          0:38.593         0:21.407
2026-06-06T14:02:05.233Z      switch      BLACK          0:25.781         0:34.219
2026-06-06T14:02:11.551Z      switch      WHITE          0:32.098         0:27.902
2026-06-06T14:02:18.932Z      switch      BLACK          0:24.717         0:35.283
2026-06-06T14:02:24.243Z      switch      WHITE          0:30.027         0:29.973
2026-06-06T14:02:30.232Z      switch      BLACK          0:24.039         0:35.961
2026-06-06T14:02:37.408Z      switch      WHITE          0:31.215         0:28.785
2026-06-06T14:02:47.905Z      switch      BLACK          0:20.719         0:39.281
2026-06-06T14:02:54.006Z      switch      WHITE          0:26.819         0:33.181
2026-06-06T14:03:10.172Z      switch      BLACK          0:10.653         0:49.347
2026-06-06T14:03:14.098Z      switch      WHITE          0:14.578         0:45.422
2026-06-06T14:03:17.086Z      switch      BLACK          0:11.590         0:48.410
2026-06-06T14:03:21.524Z      switch      WHITE          0:16.028         0:43.972
2026-06-06T14:03:32.239Z      switch      BLACK          0:05.314         0:54.686
2026-06-06T14:03:46.468Z      switch      WHITE          0:19.543         0:40.457
2026-06-06T14:03:50.905Z      switch      BLACK          0:15.107         0:44.893
2026-06-06T14:03:56.919Z      switch      WHITE          0:21.121         0:38.879
2026-06-06T14:04:02.656Z      switch      BLACK          0:15.385         0:44.615
2026-06-06T14:04:07.721Z      switch      WHITE          0:20.450         0:39.550
2026-06-06T14:04:15.806Z      switch      BLACK          0:12.366         0:47.634
2026-06-06T14:04:21.464Z      switch      WHITE          0:18.024         0:41.976
2026-06-06T14:04:36.478Z      switch      BLACK          0:03.011         0:56.989
2026-06-06T14:04:47.135Z      switch      WHITE          0:13.668         0:46.332
2026-06-06T14:04:57.572Z      switch      BLACK          0:03.232         0:56.768
2026-06-06T14:05:07.499Z      switch      WHITE          0:13.159         0:46.841
2026-06-06T14:05:12.557Z      switch      BLACK          0:08.102         0:51.898
2026-06-06T14:05:23.916Z      switch      WHITE          0:19.461         0:40.539
