# Chess clock game — 2026-06-06 12:29:56 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T12:29:56.472Z      start       WHITE          0:30.000         0:30.000
2026-06-06T12:29:56.473Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T12:30:22.071Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T12:30:22.071Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T12:30:28.631Z      switch      WHITE          0:36.560         0:23.440
2026-06-06T12:30:33.558Z      switch      BLACK          0:31.633         0:28.367
2026-06-06T12:30:38.890Z      switch      WHITE          0:36.964         0:23.036
2026-06-06T12:30:45.883Z      switch      BLACK          0:29.971         0:30.029
2026-06-06T12:30:51.816Z      switch      WHITE          0:35.903         0:24.097
2026-06-06T12:31:00.026Z      switch      BLACK          0:27.693         0:32.307
2026-06-06T12:31:06.315Z      switch      WHITE          0:33.981         0:26.019
2026-06-06T12:31:12.907Z      switch      BLACK          0:27.390         0:32.610
2026-06-06T12:31:19.521Z      switch      WHITE          0:34.004         0:25.996
2026-06-06T12:31:27.199Z      switch      BLACK          0:26.326         0:33.674
2026-06-06T12:31:35.110Z      switch      WHITE          0:34.236         0:25.764
2026-06-06T12:31:43.401Z      switch      BLACK          0:25.945         0:34.055
2026-06-06T12:31:53.146Z      switch      WHITE          0:35.690         0:24.310
2026-06-06T12:32:00.613Z      switch      BLACK          0:28.224         0:31.776
2026-06-06T12:32:08.501Z      switch      WHITE          0:36.112         0:23.888
2026-06-06T12:32:18.501Z      switch      BLACK          0:26.113         0:33.887
2026-06-06T12:32:36.668Z      switch      WHITE          0:44.279         0:15.721
2026-06-06T12:32:41.944Z      switch      BLACK          0:39.003         0:20.997
2026-06-06T12:32:50.582Z      switch      WHITE          0:47.640         0:12.360
2026-06-06T12:32:58.452Z      switch      BLACK          0:39.770         0:20.230
2026-06-06T12:33:08.266Z      switch      WHITE          0:49.584         0:10.416
2026-06-06T12:33:17.083Z      switch      BLACK          0:40.767         0:19.233
2026-06-06T12:33:20.443Z      switch      WHITE          0:44.126         0:15.874
2026-06-06T12:33:24.183Z      switch      BLACK          0:40.386         0:19.614
2026-06-06T12:33:31.300Z      switch      WHITE          0:47.503         0:12.497
2026-06-06T12:33:36.673Z      switch      BLACK          0:42.131         0:17.869
2026-06-06T12:33:41.983Z      switch      WHITE          0:47.441         0:12.559
2026-06-06T12:33:50.565Z      switch      BLACK          0:38.860         0:21.140
2026-06-06T12:33:58.629Z      switch      WHITE          0:46.924         0:13.076
2026-06-06T12:34:08.702Z      switch      BLACK          0:36.851         0:23.149
2026-06-06T12:34:17.597Z      switch      WHITE          0:45.746         0:14.254
2026-06-06T12:34:24.464Z      switch      BLACK          0:38.879         0:21.121
2026-06-06T12:34:34.052Z      switch      WHITE          0:48.466         0:11.534
2026-06-06T12:34:40.867Z      switch      BLACK          0:41.651         0:18.349
2026-06-06T12:34:48.386Z      switch      WHITE          0:49.169         0:10.831
2026-06-06T12:34:57.115Z      switch      BLACK          0:40.441         0:19.559
