# Chess clock game — 2026-06-06 16:20:26 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T16:20:26.593Z      start       WHITE          0:30.000         0:30.000
2026-06-06T16:20:26.593Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T16:22:16.268Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T16:22:16.268Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T16:22:21.920Z      switch      WHITE          0:35.651         0:24.349
2026-06-06T16:22:28.102Z      switch      BLACK          0:29.469         0:30.531
2026-06-06T16:22:35.448Z      switch      WHITE          0:36.814         0:23.186
2026-06-06T16:22:38.866Z      switch      BLACK          0:33.396         0:26.604
2026-06-06T16:22:46.092Z      switch      WHITE          0:40.621         0:19.379
2026-06-06T16:22:53.693Z      switch      BLACK          0:33.020         0:26.980
2026-06-06T16:23:01.643Z      switch      WHITE          0:40.969         0:19.031
2026-06-06T16:23:07.092Z      switch      BLACK          0:35.520         0:24.480
2026-06-06T16:23:12.894Z      switch      WHITE          0:41.321         0:18.679
2026-06-06T16:23:18.510Z      switch      BLACK          0:35.705         0:24.295
2026-06-06T16:23:24.715Z      switch      WHITE          0:41.910         0:18.090
2026-06-06T16:23:29.321Z      switch      BLACK          0:37.304         0:22.696
2026-06-06T16:23:52.051Z      flag        BLACK          1:00.000         0:00.000
