# Chess clock game — 2026-06-06 09:55:17 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T09:55:17.222Z      start       WHITE          0:30.000         0:30.000
2026-06-06T09:55:17.222Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T09:58:15.291Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T09:58:15.291Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T09:58:22.446Z      switch      WHITE          0:37.155         0:22.845
2026-06-06T09:58:28.452Z      switch      BLACK          0:31.149         0:28.851
2026-06-06T09:58:37.408Z      switch      WHITE          0:40.105         0:19.895
2026-06-06T09:58:45.197Z      switch      BLACK          0:32.317         0:27.683
2026-06-06T09:58:52.042Z      switch      WHITE          0:39.161         0:20.839
2026-06-06T09:58:57.960Z      switch      BLACK          0:33.243         0:26.757
2026-06-06T09:59:02.388Z      switch      WHITE          0:37.671         0:22.329
2026-06-06T09:59:06.853Z      switch      BLACK          0:33.206         0:26.794
2026-06-06T09:59:15.919Z      switch      WHITE          0:42.271         0:17.729
2026-06-06T09:59:20.424Z      switch      BLACK          0:37.767         0:22.233
2026-06-06T09:59:24.372Z      switch      WHITE          0:41.714         0:18.286
2026-06-06T09:59:36.473Z      switch      BLACK          0:29.613         0:30.387
2026-06-06T09:59:41.111Z      switch      WHITE          0:34.251         0:25.749
2026-06-06T09:59:59.770Z      switch      BLACK          0:15.593         0:44.407
2026-06-06T10:00:04.532Z      switch      WHITE          0:20.354         0:39.646
2026-06-06T10:00:09.014Z      switch      BLACK          0:15.872         0:44.128
2026-06-06T10:00:14.470Z      switch      WHITE          0:21.327         0:38.673
2026-06-06T10:00:28.313Z      switch      BLACK          0:07.484         0:52.516
2026-06-06T10:00:31.523Z      switch      WHITE          0:10.693         0:49.307
2026-06-06T10:00:33.446Z      switch      BLACK          0:08.770         0:51.230
2026-06-06T10:00:49.444Z      switch      WHITE          0:24.768         0:35.232
2026-06-06T10:00:54.110Z      switch      BLACK          0:20.102         0:39.898
2026-06-06T10:00:58.180Z      switch      WHITE          0:24.171         0:35.829
2026-06-06T10:01:04.382Z      switch      BLACK          0:17.969         0:42.031
2026-06-06T10:01:10.423Z      switch      WHITE          0:24.010         0:35.990
2026-06-06T10:01:14.350Z      switch      BLACK          0:20.083         0:39.917
2026-06-06T10:01:17.791Z      switch      WHITE          0:23.523         0:36.477
2026-06-06T10:01:26.137Z      switch      BLACK          0:15.178         0:44.822
2026-06-06T10:01:32.810Z      switch      WHITE          0:21.851         0:38.149
2026-06-06T10:01:43.397Z      switch      BLACK          0:11.264         0:48.736
2026-06-06T10:01:48.496Z      switch      WHITE          0:16.362         0:43.638
2026-06-06T10:01:53.346Z      switch      BLACK          0:11.512         0:48.488
2026-06-06T10:02:00.947Z      switch      WHITE          0:19.112         0:40.888
2026-06-06T10:02:06.396Z      switch      BLACK          0:13.664         0:46.336
2026-06-06T10:02:13.996Z      switch      WHITE          0:21.264         0:38.736
2026-06-06T10:02:21.956Z      switch      BLACK          0:13.304         0:46.696
2026-06-06T10:02:29.437Z      switch      WHITE          0:20.784         0:39.216
2026-06-06T10:02:39.134Z      switch      BLACK          0:11.087         0:48.913
2026-06-06T10:02:45.784Z      switch      WHITE          0:17.737         0:42.263
2026-06-06T10:02:50.059Z      switch      BLACK          0:13.463         0:46.537
2026-06-06T10:03:19.429Z      switch      WHITE          0:42.832         0:17.168
2026-06-06T10:03:28.642Z      switch      BLACK          0:33.620         0:26.380
2026-06-06T10:03:34.826Z      switch      WHITE          0:39.804         0:20.196
2026-06-06T10:03:43.678Z      switch      BLACK          0:30.953         0:29.047
2026-06-06T10:03:50.779Z      switch      WHITE          0:38.053         0:21.947
2026-06-06T10:04:00.631Z      switch      BLACK          0:28.201         0:31.799
2026-06-06T10:04:06.286Z      switch      WHITE          0:33.855         0:26.145
2026-06-06T10:04:12.979Z      switch      BLACK          0:27.162         0:32.838
2026-06-06T10:04:16.726Z      switch      WHITE          0:30.908         0:29.092
2026-06-06T10:04:24.244Z      switch      BLACK          0:23.391         0:36.609
2026-06-06T10:04:31.281Z      switch      WHITE          0:30.428         0:29.572
2026-06-06T10:04:42.023Z      switch      BLACK          0:19.687         0:40.313
2026-06-06T10:04:51.772Z      switch      WHITE          0:29.435         0:30.565
2026-06-06T10:04:57.590Z      switch      BLACK          0:23.618         0:36.382
2026-06-06T10:05:12.878Z      switch      WHITE          0:38.906         0:21.094
2026-06-06T10:05:20.150Z      switch      BLACK          0:31.635         0:28.365
2026-06-06T10:05:28.397Z      switch      WHITE          0:39.882         0:20.118
2026-06-06T10:05:37.526Z      switch      BLACK          0:30.754         0:29.246
2026-06-06T10:05:44.576Z      switch      WHITE          0:37.803         0:22.197
2026-06-06T10:05:53.140Z      switch      BLACK          0:29.239         0:30.761
2026-06-06T10:05:58.807Z      switch      WHITE          0:34.905         0:25.095
2026-06-06T10:06:08.867Z      switch      BLACK          0:24.845         0:35.155
2026-06-06T10:06:28.949Z      switch      WHITE          0:44.927         0:15.073
2026-06-06T10:06:40.860Z      switch      BLACK          0:33.017         0:26.983
2026-06-06T10:06:45.703Z      switch      WHITE          0:37.860         0:22.140
2026-06-06T10:06:53.359Z      switch      BLACK          0:30.205         0:29.795
2026-06-06T10:07:23.239Z      flag        BLACK          1:00.000         0:00.000
